group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Flatten,354294,,,56052094.0,ns,6
collections,Flatten,354294,,,55849594.0,ns,6
collections,Flatten,354294,,,55567084.0,ns,6
collections,Flatten,354294,,,55759746.0,ns,6
collections,Flatten,354294,,,55701045.0,ns,6
collections,Flatten,354294,,,55728867.0,ns,6
collections,Flatten,354294,,,55718889.0,ns,6
collections,Flatten,354294,,,55826421.0,ns,6
collections,Flatten,354294,,,56059377.0,ns,6
collections,Flatten,354294,,,55676389.0,ns,6
collections,Flatten,354294,,,55997141.0,ns,6
collections,Flatten,354294,,,55367059.0,ns,6
collections,Flatten,354294,,,55904617.0,ns,6
collections,Flatten,354294,,,55739608.0,ns,6
collections,Flatten,354294,,,55648146.0,ns,6
collections,Flatten,354294,,,55715062.0,ns,6
collections,Flatten,354294,,,55957266.0,ns,6
collections,Flatten,354294,,,55700464.0,ns,6
collections,Flatten,354294,,,55519495.0,ns,6
collections,Flatten,354294,,,55830138.0,ns,6
collections,Flatten,354294,,,55498946.0,ns,6
collections,Flatten,354294,,,55916269.0,ns,6
collections,Flatten,354294,,,55512211.0,ns,6
collections,Flatten,354294,,,55664516.0,ns,6
collections,Flatten,354294,,,56057344.0,ns,6
collections,Flatten,354294,,,55684765.0,ns,6
collections,Flatten,354294,,,55719009.0,ns,6
collections,Flatten,354294,,,55645471.0,ns,6
collections,Flatten,354294,,,55696988.0,ns,6
collections,Flatten,354294,,,55641994.0,ns,6
collections,Flatten,354294,,,56759992.0,ns,6
collections,Flatten,354294,,,56043187.0,ns,6
collections,Flatten,354294,,,55781426.0,ns,6
collections,Flatten,354294,,,56002761.0,ns,6
collections,Flatten,354294,,,55698310.0,ns,6
collections,Flatten,354294,,,55613682.0,ns,6
collections,Flatten,354294,,,55540654.0,ns,6
collections,Flatten,354294,,,55879911.0,ns,6
collections,Flatten,354294,,,55466155.0,ns,6
collections,Flatten,354294,,,56033959.0,ns,6
collections,Flatten,354294,,,55455935.0,ns,6
collections,Flatten,354294,,,55607399.0,ns,6
collections,Flatten,354294,,,56007411.0,ns,6
collections,Flatten,354294,,,55573626.0,ns,6
collections,Flatten,354294,,,56015195.0,ns,6
collections,Flatten,354294,,,55425538.0,ns,6
collections,Flatten,354294,,,55956124.0,ns,6
collections,Flatten,354294,,,55836429.0,ns,6
collections,Flatten,354294,,,55702458.0,ns,6
collections,Flatten,354294,,,55753514.0,ns,6
collections,Flatten,354294,,,55754826.0,ns,6
collections,Flatten,354294,,,55636104.0,ns,6
collections,Flatten,354294,,,55697608.0,ns,6
collections,Flatten,354294,,,55776307.0,ns,6
collections,Flatten,354294,,,55497754.0,ns,6
collections,Flatten,354294,,,55730370.0,ns,6
collections,Flatten,354294,,,55801384.0,ns,6
collections,Flatten,354294,,,55592972.0,ns,6
collections,Flatten,354294,,,55761008.0,ns,6
collections,Flatten,354294,,,55977104.0,ns,6
collections,Flatten,354294,,,55730921.0,ns,6
collections,Flatten,354294,,,55604374.0,ns,6
collections,Flatten,354294,,,55748394.0,ns,6
collections,Flatten,354294,,,55734197.0,ns,6
collections,Flatten,354294,,,55724790.0,ns,6
collections,Flatten,354294,,,55748034.0,ns,6
collections,Flatten,354294,,,55621526.0,ns,6
collections,Flatten,354294,,,55366247.0,ns,6
collections,Flatten,354294,,,55929694.0,ns,6
collections,Flatten,354294,,,55689654.0,ns,6
collections,Flatten,354294,,,55659578.0,ns,6
collections,Flatten,354294,,,56025674.0,ns,6
collections,Flatten,354294,,,55828264.0,ns,6
collections,Flatten,354294,,,55811312.0,ns,6
collections,Flatten,354294,,,55879009.0,ns,6
collections,Flatten,354294,,,55697179.0,ns,6
collections,Flatten,354294,,,55575950.0,ns,6
collections,Flatten,354294,,,55905058.0,ns,6
collections,Flatten,354294,,,55577223.0,ns,6
collections,Flatten,354294,,,55770555.0,ns,6
collections,Flatten,354294,,,56331829.0,ns,6
collections,Flatten,354294,,,55573026.0,ns,6
collections,Flatten,354294,,,55950132.0,ns,6
collections,Flatten,354294,,,55730962.0,ns,6
collections,Flatten,354294,,,55914746.0,ns,6
collections,Flatten,354294,,,55728967.0,ns,6
collections,Flatten,354294,,,55724890.0,ns,6
collections,Flatten,354294,,,55756730.0,ns,6
collections,Flatten,354294,,,55930155.0,ns,6
collections,Flatten,354294,,,55503845.0,ns,6
collections,Flatten,354294,,,55856798.0,ns,6
collections,Flatten,354294,,,55743435.0,ns,6
collections,Flatten,354294,,,55681428.0,ns,6
collections,Flatten,354294,,,55449714.0,ns,6
collections,Flatten,354294,,,55562996.0,ns,6
collections,Flatten,354294,,,55839204.0,ns,6
collections,Flatten,354294,,,55842782.0,ns,6
collections,Flatten,354294,,,55762410.0,ns,6
collections,Flatten,354294,,,55826100.0,ns,6
collections,Flatten,354294,,,55573025.0,ns,6
