group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Flatten,901,,,988016.0,ns,64
collections,Flatten,901,,,1972013.0,ns,128
collections,Flatten,901,,,2965079.0,ns,192
collections,Flatten,901,,,3947653.0,ns,256
collections,Flatten,901,,,5004198.0,ns,320
collections,Flatten,901,,,5995669.0,ns,384
collections,Flatten,901,,,6983044.0,ns,448
collections,Flatten,901,,,7951252.0,ns,512
collections,Flatten,901,,,8930090.0,ns,576
collections,Flatten,901,,,9905522.0,ns,640
collections,Flatten,901,,,10859023.0,ns,704
collections,Flatten,901,,,11848771.0,ns,768
collections,Flatten,901,,,12874367.0,ns,832
collections,Flatten,901,,,14055695.0,ns,896
collections,Flatten,901,,,14895332.0,ns,960
collections,Flatten,901,,,15901782.0,ns,1024
collections,Flatten,901,,,16911218.0,ns,1088
collections,Flatten,901,,,17906497.0,ns,1152
collections,Flatten,901,,,18816015.0,ns,1216
collections,Flatten,901,,,19829519.0,ns,1280
collections,Flatten,901,,,20835638.0,ns,1344
collections,Flatten,901,,,21812191.0,ns,1408
collections,Flatten,901,,,22736388.0,ns,1472
collections,Flatten,901,,,23771851.0,ns,1536
collections,Flatten,901,,,25050192.0,ns,1600
collections,Flatten,901,,,25861866.0,ns,1664
collections,Flatten,901,,,26828662.0,ns,1728
collections,Flatten,901,,,27835753.0,ns,1792
collections,Flatten,901,,,28739130.0,ns,1856
collections,Flatten,901,,,29656573.0,ns,1920
collections,Flatten,901,,,30609461.0,ns,1984
collections,Flatten,901,,,31699449.0,ns,2048
collections,Flatten,901,,,33024176.0,ns,2112
collections,Flatten,901,,,33838696.0,ns,2176
collections,Flatten,901,,,34675458.0,ns,2240
collections,Flatten,901,,,35574746.0,ns,2304
collections,Flatten,901,,,36466270.0,ns,2368
collections,Flatten,901,,,37697302.0,ns,2432
collections,Flatten,901,,,38639542.0,ns,2496
collections,Flatten,901,,,39455844.0,ns,2560
collections,Flatten,901,,,40392353.0,ns,2624
collections,Flatten,901,,,41356154.0,ns,2688
collections,Flatten,901,,,42540908.0,ns,2752
collections,Flatten,901,,,43674968.0,ns,2816
collections,Flatten,901,,,44658695.0,ns,2880
collections,Flatten,901,,,45695071.0,ns,2944
collections,Flatten,901,,,46757597.0,ns,3008
collections,Flatten,901,,,47595009.0,ns,3072
collections,Flatten,901,,,48533692.0,ns,3136
collections,Flatten,901,,,49650168.0,ns,3200
collections,Flatten,901,,,50554617.0,ns,3264
collections,Flatten,901,,,51786450.0,ns,3328
collections,Flatten,901,,,52685409.0,ns,3392
collections,Flatten,901,,,53439044.0,ns,3456
collections,Flatten,901,,,54588783.0,ns,3520
collections,Flatten,901,,,55781182.0,ns,3584
collections,Flatten,901,,,56877100.0,ns,3648
collections,Flatten,901,,,57646385.0,ns,3712
collections,Flatten,901,,,58643187.0,ns,3776
collections,Flatten,901,,,59622456.0,ns,3840
collections,Flatten,901,,,60492660.0,ns,3904
collections,Flatten,901,,,61449737.0,ns,3968
collections,Flatten,901,,,62414077.0,ns,4032
collections,Flatten,901,,,63468197.0,ns,4096
collections,Flatten,901,,,64549387.0,ns,4160
collections,Flatten,901,,,65928588.0,ns,4224
collections,Flatten,901,,,66371690.0,ns,4288
collections,Flatten,901,,,67400943.0,ns,4352
collections,Flatten,901,,,68410569.0,ns,4416
collections,Flatten,901,,,69422829.0,ns,4480
collections,Flatten,901,,,70666705.0,ns,4544
collections,Flatten,901,,,71422925.0,ns,4608
collections,Flatten,901,,,72629051.0,ns,4672
collections,Flatten,901,,,73334205.0,ns,4736
collections,Flatten,901,,,74120532.0,ns,4800
collections,Flatten,901,,,75056298.0,ns,4864
collections,Flatten,901,,,75990042.0,ns,4928
collections,Flatten,901,,,77157274.0,ns,4992
collections,Flatten,901,,,78478395.0,ns,5056
collections,Flatten,901,,,96904607.0,ns,5120
collections,Flatten,901,,,82468447.0,ns,5184
collections,Flatten,901,,,82448360.0,ns,5248
collections,Flatten,901,,,83415786.0,ns,5312
collections,Flatten,901,,,83829564.0,ns,5376
collections,Flatten,901,,,85369274.0,ns,5440
collections,Flatten,901,,,93688809.0,ns,5504
collections,Flatten,901,,,87444072.0,ns,5568
collections,Flatten,901,,,88071249.0,ns,5632
collections,Flatten,901,,,89015412.0,ns,5696
collections,Flatten,901,,,90897807.0,ns,5760
collections,Flatten,901,,,91407644.0,ns,5824
collections,Flatten,901,,,93185353.0,ns,5888
collections,Flatten,901,,,95538862.0,ns,5952
collections,Flatten,901,,,106717385.0,ns,6016
collections,Flatten,901,,,100952288.0,ns,6080
collections,Flatten,901,,,99708282.0,ns,6144
collections,Flatten,901,,,97891149.0,ns,6208
collections,Flatten,901,,,104452160.0,ns,6272
collections,Flatten,901,,,133901573.0,ns,6336
collections,Flatten,901,,,161378211.0,ns,6400
