group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Flatten2,118098,,,50437349.0,ns,11
collections,Flatten2,118098,,,49859736.0,ns,11
collections,Flatten2,118098,,,50107641.0,ns,11
collections,Flatten2,118098,,,50087453.0,ns,11
collections,Flatten2,118098,,,50361948.0,ns,11
collections,Flatten2,118098,,,50463850.0,ns,11
collections,Flatten2,118098,,,50227686.0,ns,11
collections,Flatten2,118098,,,50201987.0,ns,11
collections,Flatten2,118098,,,50052127.0,ns,11
collections,Flatten2,118098,,,50082203.0,ns,11
collections,Flatten2,118098,,,50411051.0,ns,11
collections,Flatten2,118098,,,49911763.0,ns,11
collections,Flatten2,118098,,,50295834.0,ns,11
collections,Flatten2,118098,,,49927123.0,ns,11
collections,Flatten2,118098,,,50153978.0,ns,11
collections,Flatten2,118098,,,49953913.0,ns,11
collections,Flatten2,118098,,,50103523.0,ns,11
collections,Flatten2,118098,,,50049873.0,ns,11
collections,Flatten2,118098,,,50191047.0,ns,11
collections,Flatten2,118098,,,49826183.0,ns,11
collections,Flatten2,118098,,,50005780.0,ns,11
collections,Flatten2,118098,,,49947060.0,ns,11
collections,Flatten2,118098,,,49971375.0,ns,11
collections,Flatten2,118098,,,49822917.0,ns,11
collections,Flatten2,118098,,,50304440.0,ns,11
collections,Flatten2,118098,,,50194093.0,ns,11
collections,Flatten2,118098,,,50003095.0,ns,11
collections,Flatten2,118098,,,49955826.0,ns,11
collections,Flatten2,118098,,,50195475.0,ns,11
collections,Flatten2,118098,,,50092392.0,ns,11
collections,Flatten2,118098,,,50149809.0,ns,11
collections,Flatten2,118098,,,50006501.0,ns,11
collections,Flatten2,118098,,,50118251.0,ns,11
collections,Flatten2,118098,,,50185527.0,ns,11
collections,Flatten2,118098,,,50209392.0,ns,11
collections,Flatten2,118098,,,50294952.0,ns,11
collections,Flatten2,118098,,,49765620.0,ns,11
collections,Flatten2,118098,,,50300773.0,ns,11
collections,Flatten2,118098,,,50241963.0,ns,11
collections,Flatten2,118098,,,50240801.0,ns,11
collections,Flatten2,118098,,,49961246.0,ns,11
collections,Flatten2,118098,,,50305171.0,ns,11
collections,Flatten2,118098,,,50056786.0,ns,11
collections,Flatten2,118098,,,50098444.0,ns,11
collections,Flatten2,118098,,,50370143.0,ns,11
collections,Flatten2,118098,,,50372658.0,ns,11
collections,Flatten2,118098,,,50357890.0,ns,11
collections,Flatten2,118098,,,50370073.0,ns,11
collections,Flatten2,118098,,,49986053.0,ns,11
collections,Flatten2,118098,,,50355396.0,ns,11
collections,Flatten2,118098,,,50040936.0,ns,11
collections,Flatten2,118098,,,50064179.0,ns,11
collections,Flatten2,118098,,,50166391.0,ns,11
collections,Flatten2,118098,,,50114524.0,ns,11
collections,Flatten2,118098,,,50207619.0,ns,11
collections,Flatten2,118098,,,50156142.0,ns,11
collections,Flatten2,118098,,,50044383.0,ns,11
collections,Flatten2,118098,,,49745582.0,ns,11
collections,Flatten2,118098,,,50161332.0,ns,11
collections,Flatten2,118098,,,50152144.0,ns,11
collections,Flatten2,118098,,,50111468.0,ns,11
collections,Flatten2,118098,,,50327803.0,ns,11
collections,Flatten2,118098,,,50002103.0,ns,11
collections,Flatten2,118098,,,50342091.0,ns,11
collections,Flatten2,118098,,,50108453.0,ns,11
collections,Flatten2,118098,,,50276818.0,ns,11
collections,Flatten2,118098,,,50136495.0,ns,11
collections,Flatten2,118098,,,50489868.0,ns,11
collections,Flatten2,118098,,,49920980.0,ns,11
collections,Flatten2,118098,,,50293881.0,ns,11
collections,Flatten2,118098,,,50080881.0,ns,11
collections,Flatten2,118098,,,50259556.0,ns,11
collections,Flatten2,118098,,,50088565.0,ns,11
collections,Flatten2,118098,,,50147126.0,ns,11
collections,Flatten2,118098,,,50043360.0,ns,11
collections,Flatten2,118098,,,50587812.0,ns,11
collections,Flatten2,118098,,,50009397.0,ns,11
collections,Flatten2,118098,,,50295624.0,ns,11
collections,Flatten2,118098,,,50302356.0,ns,11
collections,Flatten2,118098,,,50159238.0,ns,11
collections,Flatten2,118098,,,49827396.0,ns,11
collections,Flatten2,118098,,,50231212.0,ns,11
collections,Flatten2,118098,,,49988067.0,ns,11
collections,Flatten2,118098,,,50212788.0,ns,11
collections,Flatten2,118098,,,50110056.0,ns,11
collections,Flatten2,118098,,,49947420.0,ns,11
collections,Flatten2,118098,,,50474098.0,ns,11
collections,Flatten2,118098,,,50311803.0,ns,11
collections,Flatten2,118098,,,50244598.0,ns,11
collections,Flatten2,118098,,,50134982.0,ns,11
collections,Flatten2,118098,,,50291285.0,ns,11
collections,Flatten2,118098,,,50009927.0,ns,11
collections,Flatten2,118098,,,50107772.0,ns,11
collections,Flatten2,118098,,,49930569.0,ns,11
collections,Flatten2,118098,,,50255919.0,ns,11
collections,Flatten2,118098,,,49879563.0,ns,11
collections,Flatten2,118098,,,50238396.0,ns,11
collections,Flatten2,118098,,,50570630.0,ns,11
collections,Flatten2,118098,,,50152755.0,ns,11
collections,Flatten2,118098,,,49954755.0,ns,11
