group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Flatten2,256,,,987081.0,ns,274
collections,Flatten2,256,,,1968813.0,ns,548
collections,Flatten2,256,,,2934014.0,ns,822
collections,Flatten2,256,,,3914905.0,ns,1096
collections,Flatten2,256,,,4936701.0,ns,1370
collections,Flatten2,256,,,5885040.0,ns,1644
collections,Flatten2,256,,,6917737.0,ns,1918
collections,Flatten2,256,,,7856268.0,ns,2192
collections,Flatten2,256,,,8852166.0,ns,2466
collections,Flatten2,256,,,9843145.0,ns,2740
collections,Flatten2,256,,,10847929.0,ns,3014
collections,Flatten2,256,,,11823540.0,ns,3288
collections,Flatten2,256,,,12796906.0,ns,3562
collections,Flatten2,256,,,13805799.0,ns,3836
collections,Flatten2,256,,,15121327.0,ns,4110
collections,Flatten2,256,,,15839995.0,ns,4384
collections,Flatten2,256,,,16768086.0,ns,4658
collections,Flatten2,256,,,17737855.0,ns,4932
collections,Flatten2,256,,,18797893.0,ns,5206
collections,Flatten2,256,,,19579840.0,ns,5480
collections,Flatten2,256,,,20550592.0,ns,5754
collections,Flatten2,256,,,21602645.0,ns,6028
collections,Flatten2,256,,,22592742.0,ns,6302
collections,Flatten2,256,,,23607236.0,ns,6576
collections,Flatten2,256,,,24596892.0,ns,6850
collections,Flatten2,256,,,25591247.0,ns,7124
collections,Flatten2,256,,,26579571.0,ns,7398
collections,Flatten2,256,,,27488637.0,ns,7672
collections,Flatten2,256,,,28588681.0,ns,7946
collections,Flatten2,256,,,29431361.0,ns,8220
collections,Flatten2,256,,,30543026.0,ns,8494
collections,Flatten2,256,,,31471307.0,ns,8768
collections,Flatten2,256,,,32303098.0,ns,9042
collections,Flatten2,256,,,33371673.0,ns,9316
collections,Flatten2,256,,,34497505.0,ns,9590
collections,Flatten2,256,,,35694691.0,ns,9864
collections,Flatten2,256,,,36719122.0,ns,10138
collections,Flatten2,256,,,37627046.0,ns,10412
collections,Flatten2,256,,,38438448.0,ns,10686
collections,Flatten2,256,,,39398989.0,ns,10960
collections,Flatten2,256,,,40415386.0,ns,11234
collections,Flatten2,256,,,41374325.0,ns,11508
collections,Flatten2,256,,,42297216.0,ns,11782
collections,Flatten2,256,,,43297642.0,ns,12056
collections,Flatten2,256,,,44237927.0,ns,12330
collections,Flatten2,256,,,45191646.0,ns,12604
collections,Flatten2,256,,,45973072.0,ns,12878
collections,Flatten2,256,,,46935978.0,ns,13152
collections,Flatten2,256,,,48156368.0,ns,13426
collections,Flatten2,256,,,49082665.0,ns,13700
collections,Flatten2,256,,,49962666.0,ns,13974
collections,Flatten2,256,,,51119135.0,ns,14248
collections,Flatten2,256,,,52020536.0,ns,14522
collections,Flatten2,256,,,53003691.0,ns,14796
collections,Flatten2,256,,,54005510.0,ns,15070
collections,Flatten2,256,,,54730029.0,ns,15344
collections,Flatten2,256,,,55697244.0,ns,15618
collections,Flatten2,256,,,57180676.0,ns,15892
collections,Flatten2,256,,,58490844.0,ns,16166
collections,Flatten2,256,,,59265859.0,ns,16440
collections,Flatten2,256,,,60258330.0,ns,16714
collections,Flatten2,256,,,61334509.0,ns,16988
collections,Flatten2,256,,,61574139.0,ns,17262
collections,Flatten2,256,,,62842287.0,ns,17536
collections,Flatten2,256,,,64217457.0,ns,17810
collections,Flatten2,256,,,64859020.0,ns,18084
collections,Flatten2,256,,,65497578.0,ns,18358
collections,Flatten2,256,,,66518444.0,ns,18632
collections,Flatten2,256,,,67788406.0,ns,18906
collections,Flatten2,256,,,68320765.0,ns,19180
collections,Flatten2,256,,,69348963.0,ns,19454
collections,Flatten2,256,,,70264380.0,ns,19728
collections,Flatten2,256,,,71146055.0,ns,20002
collections,Flatten2,256,,,73416764.0,ns,20276
collections,Flatten2,256,,,73434026.0,ns,20550
collections,Flatten2,256,,,74427650.0,ns,20824
collections,Flatten2,256,,,75134707.0,ns,21098
collections,Flatten2,256,,,76533041.0,ns,21372
collections,Flatten2,256,,,77367956.0,ns,21646
collections,Flatten2,256,,,78327146.0,ns,21920
collections,Flatten2,256,,,79303778.0,ns,22194
collections,Flatten2,256,,,80310426.0,ns,22468
collections,Flatten2,256,,,81005740.0,ns,22742
collections,Flatten2,256,,,82082219.0,ns,23016
collections,Flatten2,256,,,83172866.0,ns,23290
collections,Flatten2,256,,,84185315.0,ns,23564
collections,Flatten2,256,,,85561396.0,ns,23838
collections,Flatten2,256,,,86172663.0,ns,24112
collections,Flatten2,256,,,86965010.0,ns,24386
collections,Flatten2,256,,,88054553.0,ns,24660
collections,Flatten2,256,,,89094204.0,ns,24934
collections,Flatten2,256,,,89744333.0,ns,25208
collections,Flatten2,256,,,90701558.0,ns,25482
collections,Flatten2,256,,,92081788.0,ns,25756
collections,Flatten2,256,,,93204133.0,ns,26030
collections,Flatten2,256,,,93994567.0,ns,26304
collections,Flatten2,256,,,94874016.0,ns,26578
collections,Flatten2,256,,,96839382.0,ns,26852
collections,Flatten2,256,,,96944560.0,ns,27126
collections,Flatten2,256,,,98013897.0,ns,27400
