group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Kyran Map,17,,,980890.0,ns,383240
collections,Kyran Map,17,,,1972510.0,ns,766480
collections,Kyran Map,17,,,2977474.0,ns,1149720
collections,Kyran Map,17,,,3956591.0,ns,1532960
collections,Kyran Map,17,,,4952919.0,ns,1916200
collections,Kyran Map,17,,,5938327.0,ns,2299440
collections,Kyran Map,17,,,6928936.0,ns,2682680
collections,Kyran Map,17,,,7909734.0,ns,3065920
collections,Kyran Map,17,,,8859937.0,ns,3449160
collections,Kyran Map,17,,,9852288.0,ns,3832400
collections,Kyran Map,17,,,10886518.0,ns,4215640
collections,Kyran Map,17,,,11884990.0,ns,4598880
collections,Kyran Map,17,,,12850140.0,ns,4982120
collections,Kyran Map,17,,,13799911.0,ns,5365360
collections,Kyran Map,17,,,14840193.0,ns,5748600
collections,Kyran Map,17,,,15771669.0,ns,6131840
collections,Kyran Map,17,,,16834602.0,ns,6515080
collections,Kyran Map,17,,,17801606.0,ns,6898320
collections,Kyran Map,17,,,18762088.0,ns,7281560
collections,Kyran Map,17,,,19750351.0,ns,7664800
collections,Kyran Map,17,,,20771186.0,ns,8048040
collections,Kyran Map,17,,,21757936.0,ns,8431280
collections,Kyran Map,17,,,22679395.0,ns,8814520
collections,Kyran Map,17,,,23608598.0,ns,9197760
collections,Kyran Map,17,,,24728949.0,ns,9581000
collections,Kyran Map,17,,,25641961.0,ns,9964240
collections,Kyran Map,17,,,26512624.0,ns,10347480
collections,Kyran Map,17,,,27774050.0,ns,10730720
collections,Kyran Map,17,,,28562348.0,ns,11113960
collections,Kyran Map,17,,,29858750.0,ns,11497200
collections,Kyran Map,17,,,30871308.0,ns,11880440
collections,Kyran Map,17,,,31751931.0,ns,12263680
collections,Kyran Map,17,,,32551981.0,ns,12646920
collections,Kyran Map,17,,,33675818.0,ns,13030160
collections,Kyran Map,17,,,34629406.0,ns,13413400
collections,Kyran Map,17,,,35522591.0,ns,13796640
collections,Kyran Map,17,,,36624679.0,ns,14179880
collections,Kyran Map,17,,,38129762.0,ns,14563120
collections,Kyran Map,17,,,38569457.0,ns,14946360
collections,Kyran Map,17,,,39563551.0,ns,15329600
collections,Kyran Map,17,,,40515005.0,ns,15712840
collections,Kyran Map,17,,,41500874.0,ns,16096080
collections,Kyran Map,17,,,42510768.0,ns,16479320
collections,Kyran Map,17,,,43520222.0,ns,16862560
collections,Kyran Map,17,,,44713730.0,ns,17245800
collections,Kyran Map,17,,,45339804.0,ns,17629040
collections,Kyran Map,17,,,46478300.0,ns,18012280
collections,Kyran Map,17,,,47459569.0,ns,18395520
collections,Kyran Map,17,,,48435600.0,ns,18778760
collections,Kyran Map,17,,,49453649.0,ns,19162000
collections,Kyran Map,17,,,50508528.0,ns,19545240
collections,Kyran Map,17,,,51440145.0,ns,19928480
collections,Kyran Map,17,,,52483001.0,ns,20311720
collections,Kyran Map,17,,,53275046.0,ns,20694960
collections,Kyran Map,17,,,54718894.0,ns,21078200
collections,Kyran Map,17,,,55399019.0,ns,21461440
collections,Kyran Map,17,,,56447617.0,ns,21844680
collections,Kyran Map,17,,,57380045.0,ns,22227920
collections,Kyran Map,17,,,59730574.0,ns,22611160
collections,Kyran Map,17,,,58720018.0,ns,22994400
collections,Kyran Map,17,,,59687112.0,ns,23377640
collections,Kyran Map,17,,,60770454.0,ns,23760880
collections,Kyran Map,17,,,61678738.0,ns,24144120
collections,Kyran Map,17,,,64917682.0,ns,24527360
collections,Kyran Map,17,,,64403638.0,ns,24910600
collections,Kyran Map,17,,,65372625.0,ns,25293840
collections,Kyran Map,17,,,66083399.0,ns,25677080
collections,Kyran Map,17,,,71819186.0,ns,26060320
collections,Kyran Map,17,,,68470926.0,ns,26443560
collections,Kyran Map,17,,,69141143.0,ns,26826800
collections,Kyran Map,17,,,70260663.0,ns,27210040
collections,Kyran Map,17,,,71208249.0,ns,27593280
collections,Kyran Map,17,,,72221751.0,ns,27976520
collections,Kyran Map,17,,,73231054.0,ns,28359760
collections,Kyran Map,17,,,74059327.0,ns,28743000
collections,Kyran Map,17,,,77096072.0,ns,29126240
collections,Kyran Map,17,,,76086539.0,ns,29509480
collections,Kyran Map,17,,,76899384.0,ns,29892720
collections,Kyran Map,17,,,77941668.0,ns,30275960
collections,Kyran Map,17,,,78634268.0,ns,30659200
collections,Kyran Map,17,,,79654901.0,ns,31042440
collections,Kyran Map,17,,,80640650.0,ns,31425680
collections,Kyran Map,17,,,82490079.0,ns,31808920
collections,Kyran Map,17,,,82351189.0,ns,32192160
collections,Kyran Map,17,,,83386269.0,ns,32575400
collections,Kyran Map,17,,,85129909.0,ns,32958640
collections,Kyran Map,17,,,85172220.0,ns,33341880
collections,Kyran Map,17,,,86193244.0,ns,33725120
collections,Kyran Map,17,,,88245092.0,ns,34108360
collections,Kyran Map,17,,,88638701.0,ns,34491600
collections,Kyran Map,17,,,89810458.0,ns,34874840
collections,Kyran Map,17,,,90439478.0,ns,35258080
collections,Kyran Map,17,,,91485369.0,ns,35641320
collections,Kyran Map,17,,,92767313.0,ns,36024560
collections,Kyran Map,17,,,94449408.0,ns,36407800
collections,Kyran Map,17,,,95122570.0,ns,36791040
collections,Kyran Map,17,,,95964129.0,ns,37174280
collections,Kyran Map,17,,,96984372.0,ns,37557520
collections,Kyran Map,17,,,98638555.0,ns,37940760
collections,Kyran Map,17,,,98111667.0,ns,38324000
