group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Kyran Map,354294,,,55934363.0,ns,6
collections,Kyran Map,354294,,,55516349.0,ns,6
collections,Kyran Map,354294,,,55510458.0,ns,6
collections,Kyran Map,354294,,,55573487.0,ns,6
collections,Kyran Map,354294,,,56037477.0,ns,6
collections,Kyran Map,354294,,,55492674.0,ns,6
collections,Kyran Map,354294,,,55854773.0,ns,6
collections,Kyran Map,354294,,,56248562.0,ns,6
collections,Kyran Map,354294,,,55518243.0,ns,6
collections,Kyran Map,354294,,,55634941.0,ns,6
collections,Kyran Map,354294,,,55988705.0,ns,6
collections,Kyran Map,354294,,,55784351.0,ns,6
collections,Kyran Map,354294,,,55867989.0,ns,6
collections,Kyran Map,354294,,,55969328.0,ns,6
collections,Kyran Map,354294,,,55582543.0,ns,6
collections,Kyran Map,354294,,,55518082.0,ns,6
collections,Kyran Map,354294,,,55808638.0,ns,6
collections,Kyran Map,354294,,,55686157.0,ns,6
collections,Kyran Map,354294,,,55714179.0,ns,6
collections,Kyran Map,354294,,,56078564.0,ns,6
collections,Kyran Map,354294,,,55828073.0,ns,6
collections,Kyran Map,354294,,,55470854.0,ns,6
collections,Kyran Map,354294,,,55875633.0,ns,6
collections,Kyran Map,354294,,,56084805.0,ns,6
collections,Kyran Map,354294,,,55512040.0,ns,6
collections,Kyran Map,354294,,,56022258.0,ns,6
collections,Kyran Map,354294,,,55946015.0,ns,6
collections,Kyran Map,354294,,,56990755.0,ns,6
collections,Kyran Map,354294,,,56798945.0,ns,6
collections,Kyran Map,354294,,,56069987.0,ns,6
collections,Kyran Map,354294,,,55854774.0,ns,6
collections,Kyran Map,354294,,,57690227.0,ns,6
collections,Kyran Map,354294,,,57263727.0,ns,6
collections,Kyran Map,354294,,,55869742.0,ns,6
collections,Kyran Map,354294,,,55931458.0,ns,6
collections,Kyran Map,354294,,,55827412.0,ns,6
collections,Kyran Map,354294,,,55576291.0,ns,6
collections,Kyran Map,354294,,,56137484.0,ns,6
collections,Kyran Map,354294,,,56082791.0,ns,6
collections,Kyran Map,354294,,,56756446.0,ns,6
collections,Kyran Map,354294,,,55995538.0,ns,6
collections,Kyran Map,354294,,,56170637.0,ns,6
collections,Kyran Map,354294,,,56089685.0,ns,6
collections,Kyran Map,354294,,,56372876.0,ns,6
collections,Kyran Map,354294,,,56047525.0,ns,6
collections,Kyran Map,354294,,,55755828.0,ns,6
collections,Kyran Map,354294,,,55861486.0,ns,6
collections,Kyran Map,354294,,,55945674.0,ns,6
collections,Kyran Map,354294,,,56098431.0,ns,6
collections,Kyran Map,354294,,,55228468.0,ns,6
collections,Kyran Map,354294,,,55884299.0,ns,6
collections,Kyran Map,354294,,,55815089.0,ns,6
collections,Kyran Map,354294,,,55831170.0,ns,6
collections,Kyran Map,354294,,,55826370.0,ns,6
collections,Kyran Map,354294,,,55631245.0,ns,6
collections,Kyran Map,354294,,,56159024.0,ns,6
collections,Kyran Map,354294,,,55652203.0,ns,6
collections,Kyran Map,354294,,,55860545.0,ns,6
collections,Kyran Map,354294,,,55735159.0,ns,6
collections,Kyran Map,354294,,,55942258.0,ns,6
collections,Kyran Map,354294,,,55843663.0,ns,6
collections,Kyran Map,354294,,,56018481.0,ns,6
collections,Kyran Map,354294,,,55968056.0,ns,6
collections,Kyran Map,354294,,,55687109.0,ns,6
collections,Kyran Map,354294,,,56068084.0,ns,6
collections,Kyran Map,354294,,,55829066.0,ns,6
collections,Kyran Map,354294,,,56071621.0,ns,6
collections,Kyran Map,354294,,,55876525.0,ns,6
collections,Kyran Map,354294,,,55955963.0,ns,6
collections,Kyran Map,354294,,,56044550.0,ns,6
collections,Kyran Map,354294,,,55832011.0,ns,6
collections,Kyran Map,354294,,,56497440.0,ns,6
collections,Kyran Map,354294,,,55904928.0,ns,6
collections,Kyran Map,354294,,,56128437.0,ns,6
collections,Kyran Map,354294,,,56647961.0,ns,6
collections,Kyran Map,354294,,,55930906.0,ns,6
collections,Kyran Map,354294,,,55635202.0,ns,6
collections,Kyran Map,354294,,,55988164.0,ns,6
collections,Kyran Map,354294,,,55794060.0,ns,6
collections,Kyran Map,354294,,,56316690.0,ns,6
collections,Kyran Map,354294,,,56204850.0,ns,6
collections,Kyran Map,354294,,,55685506.0,ns,6
collections,Kyran Map,354294,,,55801423.0,ns,6
collections,Kyran Map,354294,,,55947587.0,ns,6
collections,Kyran Map,354294,,,56190744.0,ns,6
collections,Kyran Map,354294,,,55778841.0,ns,6
collections,Kyran Map,354294,,,56157242.0,ns,6
collections,Kyran Map,354294,,,56098711.0,ns,6
collections,Kyran Map,354294,,,55750749.0,ns,6
collections,Kyran Map,354294,,,55861687.0,ns,6
collections,Kyran Map,354294,,,55888617.0,ns,6
collections,Kyran Map,354294,,,55963908.0,ns,6
collections,Kyran Map,354294,,,55737533.0,ns,6
collections,Kyran Map,354294,,,56107508.0,ns,6
collections,Kyran Map,354294,,,55409829.0,ns,6
collections,Kyran Map,354294,,,55949311.0,ns,6
collections,Kyran Map,354294,,,55805671.0,ns,6
collections,Kyran Map,354294,,,55940164.0,ns,6
collections,Kyran Map,354294,,,55726313.0,ns,6
collections,Kyran Map,354294,,,55681038.0,ns,6
