group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Map,39366,,,1446754.0,ns,1
collections,Map,39366,,,2872900.0,ns,2
collections,Map,39366,,,4360471.0,ns,3
collections,Map,39366,,,5688132.0,ns,4
collections,Map,39366,,,7206631.0,ns,5
collections,Map,39366,,,8636995.0,ns,6
collections,Map,39366,,,9928708.0,ns,7
collections,Map,39366,,,11422410.0,ns,8
collections,Map,39366,,,12892279.0,ns,9
collections,Map,39366,,,14239195.0,ns,10
collections,Map,39366,,,15753437.0,ns,11
collections,Map,39366,,,17065749.0,ns,12
collections,Map,39366,,,19194973.0,ns,13
collections,Map,39366,,,20027896.0,ns,14
collections,Map,39366,,,22024903.0,ns,15
collections,Map,39366,,,22866592.0,ns,16
collections,Map,39366,,,24196877.0,ns,17
collections,Map,39366,,,25675001.0,ns,18
collections,Map,39366,,,27280774.0,ns,19
collections,Map,39366,,,28612082.0,ns,20
collections,Map,39366,,,29871294.0,ns,21
collections,Map,39366,,,31512734.0,ns,22
collections,Map,39366,,,32829073.0,ns,23
collections,Map,39366,,,34340289.0,ns,24
collections,Map,39366,,,35606033.0,ns,25
collections,Map,39366,,,38095785.0,ns,26
collections,Map,39366,,,38591404.0,ns,27
collections,Map,39366,,,40223757.0,ns,28
collections,Map,39366,,,41573820.0,ns,29
collections,Map,39366,,,43142363.0,ns,30
collections,Map,39366,,,44431552.0,ns,31
collections,Map,39366,,,45751517.0,ns,32
collections,Map,39366,,,47899869.0,ns,33
collections,Map,39366,,,48553585.0,ns,34
collections,Map,39366,,,50179887.0,ns,35
collections,Map,39366,,,51353288.0,ns,36
collections,Map,39366,,,53054650.0,ns,37
collections,Map,39366,,,54261465.0,ns,38
collections,Map,39366,,,55682581.0,ns,39
collections,Map,39366,,,57382500.0,ns,40
collections,Map,39366,,,58688240.0,ns,41
collections,Map,39366,,,60044033.0,ns,42
collections,Map,39366,,,61307404.0,ns,43
collections,Map,39366,,,62840941.0,ns,44
collections,Map,39366,,,64361924.0,ns,45
collections,Map,39366,,,65530076.0,ns,46
collections,Map,39366,,,67326206.0,ns,47
collections,Map,39366,,,68434365.0,ns,48
collections,Map,39366,,,69831657.0,ns,49
collections,Map,39366,,,71242734.0,ns,50
collections,Map,39366,,,72643021.0,ns,51
collections,Map,39366,,,74052015.0,ns,52
collections,Map,39366,,,75557750.0,ns,53
collections,Map,39366,,,76776557.0,ns,54
collections,Map,39366,,,78411665.0,ns,55
collections,Map,39366,,,79825577.0,ns,56
collections,Map,39366,,,83049355.0,ns,57
collections,Map,39366,,,83088349.0,ns,58
collections,Map,39366,,,84036297.0,ns,59
collections,Map,39366,,,85915413.0,ns,60
collections,Map,39366,,,87862626.0,ns,61
collections,Map,39366,,,90294739.0,ns,62
collections,Map,39366,,,90119060.0,ns,63
collections,Map,39366,,,91348426.0,ns,64
collections,Map,39366,,,92718076.0,ns,65
collections,Map,39366,,,94201549.0,ns,66
collections,Map,39366,,,95624398.0,ns,67
collections,Map,39366,,,97173955.0,ns,68
collections,Map,39366,,,98668330.0,ns,69
collections,Map,39366,,,100014135.0,ns,70
collections,Map,39366,,,102115197.0,ns,71
collections,Map,39366,,,103860231.0,ns,72
collections,Map,39366,,,103171899.0,ns,73
collections,Map,39366,,,104630867.0,ns,74
collections,Map,39366,,,106385338.0,ns,75
collections,Map,39366,,,107743536.0,ns,76
collections,Map,39366,,,108847407.0,ns,77
collections,Map,39366,,,110539512.0,ns,78
collections,Map,39366,,,111800598.0,ns,79
collections,Map,39366,,,113735148.0,ns,80
collections,Map,39366,,,114890335.0,ns,81
collections,Map,39366,,,116452055.0,ns,82
collections,Map,39366,,,117634814.0,ns,83
collections,Map,39366,,,118606848.0,ns,84
collections,Map,39366,,,120302870.0,ns,85
collections,Map,39366,,,121818263.0,ns,86
collections,Map,39366,,,123464582.0,ns,87
collections,Map,39366,,,129834784.0,ns,88
collections,Map,39366,,,126223609.0,ns,89
collections,Map,39366,,,127511023.0,ns,90
collections,Map,39366,,,129062324.0,ns,91
collections,Map,39366,,,130152470.0,ns,92
collections,Map,39366,,,131434094.0,ns,93
collections,Map,39366,,,132829272.0,ns,94
collections,Map,39366,,,134255617.0,ns,95
collections,Map,39366,,,136086744.0,ns,96
collections,Map,39366,,,137084866.0,ns,97
collections,Map,39366,,,142123630.0,ns,98
collections,Map,39366,,,142254215.0,ns,99
collections,Map,39366,,,143996273.0,ns,100
