group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Map,4374,,,1006358.0,ns,7
collections,Map,4374,,,2011845.0,ns,14
collections,Map,4374,,,3017263.0,ns,21
collections,Map,4374,,,4023100.0,ns,28
collections,Map,4374,,,5035460.0,ns,35
collections,Map,4374,,,6042901.0,ns,42
collections,Map,4374,,,7040332.0,ns,49
collections,Map,4374,,,8051159.0,ns,56
collections,Map,4374,,,9058731.0,ns,63
collections,Map,4374,,,10045602.0,ns,70
collections,Map,4374,,,11074153.0,ns,77
collections,Map,4374,,,12020939.0,ns,84
collections,Map,4374,,,12998524.0,ns,91
collections,Map,4374,,,13998971.0,ns,98
collections,Map,4374,,,15002515.0,ns,105
collections,Map,4374,,,15995919.0,ns,112
collections,Map,4374,,,17018989.0,ns,119
collections,Map,4374,,,17993157.0,ns,126
collections,Map,4374,,,19004575.0,ns,133
collections,Map,4374,,,20004982.0,ns,140
collections,Map,4374,,,20990070.0,ns,147
collections,Map,4374,,,22007070.0,ns,154
collections,Map,4374,,,23001726.0,ns,161
collections,Map,4374,,,24004107.0,ns,168
collections,Map,4374,,,25047426.0,ns,175
collections,Map,4374,,,26047903.0,ns,182
collections,Map,4374,,,27005300.0,ns,189
collections,Map,4374,,,28000487.0,ns,196
collections,Map,4374,,,29000905.0,ns,203
collections,Map,4374,,,29939556.0,ns,210
collections,Map,4374,,,30928692.0,ns,217
collections,Map,4374,,,31947173.0,ns,224
collections,Map,4374,,,32936601.0,ns,231
collections,Map,4374,,,33963558.0,ns,238
collections,Map,4374,,,34995715.0,ns,245
collections,Map,4374,,,35939225.0,ns,252
collections,Map,4374,,,36928872.0,ns,259
collections,Map,4374,,,37937125.0,ns,266
collections,Map,4374,,,38926722.0,ns,273
collections,Map,4374,,,39972595.0,ns,280
collections,Map,4374,,,40935792.0,ns,287
collections,Map,4374,,,41917996.0,ns,294
collections,Map,4374,,,42934493.0,ns,301
collections,Map,4374,,,43967962.0,ns,308
collections,Map,4374,,,44967759.0,ns,315
collections,Map,4374,,,45991850.0,ns,322
collections,Map,4374,,,46926986.0,ns,329
collections,Map,4374,,,47916372.0,ns,336
collections,Map,4374,,,48907221.0,ns,343
collections,Map,4374,,,49901208.0,ns,350
collections,Map,4374,,,50983267.0,ns,357
collections,Map,4374,,,52640828.0,ns,364
collections,Map,4374,,,53238680.0,ns,371
collections,Map,4374,,,54199574.0,ns,378
collections,Map,4374,,,55210300.0,ns,385
collections,Map,4374,,,56050718.0,ns,392
collections,Map,4374,,,57095107.0,ns,399
collections,Map,4374,,,57944031.0,ns,406
collections,Map,4374,,,58915935.0,ns,413
collections,Map,4374,,,59935738.0,ns,420
collections,Map,4374,,,60896191.0,ns,427
collections,Map,4374,,,62098437.0,ns,434
collections,Map,4374,,,63454852.0,ns,441
collections,Map,4374,,,64236369.0,ns,448
collections,Map,4374,,,64908069.0,ns,455
collections,Map,4374,,,65899801.0,ns,462
collections,Map,4374,,,66890620.0,ns,469
collections,Map,4374,,,68089169.0,ns,476
collections,Map,4374,,,68902335.0,ns,483
collections,Map,4374,,,69950282.0,ns,490
collections,Map,4374,,,70880617.0,ns,497
collections,Map,4374,,,71942522.0,ns,504
collections,Map,4374,,,72895108.0,ns,511
collections,Map,4374,,,73874997.0,ns,518
collections,Map,4374,,,74935157.0,ns,525
collections,Map,4374,,,75888656.0,ns,532
collections,Map,4374,,,76898852.0,ns,539
collections,Map,4374,,,77965233.0,ns,546
collections,Map,4374,,,78970440.0,ns,553
collections,Map,4374,,,79934489.0,ns,560
collections,Map,4374,,,81036938.0,ns,567
collections,Map,4374,,,81876834.0,ns,574
collections,Map,4374,,,83066807.0,ns,581
collections,Map,4374,,,84053368.0,ns,588
collections,Map,4374,,,84997751.0,ns,595
collections,Map,4374,,,85922105.0,ns,602
collections,Map,4374,,,86968619.0,ns,609
collections,Map,4374,,,87863549.0,ns,616
collections,Map,4374,,,89538442.0,ns,623
collections,Map,4374,,,90308267.0,ns,630
collections,Map,4374,,,90940303.0,ns,637
collections,Map,4374,,,91874506.0,ns,644
collections,Map,4374,,,92906332.0,ns,651
collections,Map,4374,,,94111674.0,ns,658
collections,Map,4374,,,94866751.0,ns,665
collections,Map,4374,,,95897817.0,ns,672
collections,Map,4374,,,96853159.0,ns,679
collections,Map,4374,,,97912016.0,ns,686
collections,Map,4374,,,99373639.0,ns,693
collections,Map,4374,,,99937347.0,ns,700
