group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Parralel,39366,,,1059458.0,ns,4
collections,Parralel,39366,,,3263723.0,ns,8
collections,Parralel,39366,,,3572974.0,ns,12
collections,Parralel,39366,,,5043793.0,ns,16
collections,Parralel,39366,,,5953430.0,ns,20
collections,Parralel,39366,,,7273476.0,ns,24
collections,Parralel,39366,,,7830131.0,ns,28
collections,Parralel,39366,,,9098510.0,ns,32
collections,Parralel,39366,,,11468567.0,ns,36
collections,Parralel,39366,,,12184009.0,ns,40
collections,Parralel,39366,,,12848666.0,ns,44
collections,Parralel,39366,,,13312226.0,ns,48
collections,Parralel,39366,,,15692953.0,ns,52
collections,Parralel,39366,,,15567908.0,ns,56
collections,Parralel,39366,,,18042511.0,ns,60
collections,Parralel,39366,,,17698896.0,ns,64
collections,Parralel,39366,,,20752345.0,ns,68
collections,Parralel,39366,,,21304752.0,ns,72
collections,Parralel,39366,,,22580765.0,ns,76
collections,Parralel,39366,,,23860075.0,ns,80
collections,Parralel,39366,,,24323686.0,ns,84
collections,Parralel,39366,,,24582882.0,ns,88
collections,Parralel,39366,,,26495270.0,ns,92
collections,Parralel,39366,,,27283559.0,ns,96
collections,Parralel,39366,,,28563891.0,ns,100
collections,Parralel,39366,,,31072728.0,ns,104
collections,Parralel,39366,,,30690702.0,ns,108
collections,Parralel,39366,,,32437999.0,ns,112
collections,Parralel,39366,,,34257293.0,ns,116
collections,Parralel,39366,,,36257084.0,ns,120
collections,Parralel,39366,,,35360443.0,ns,124
collections,Parralel,39366,,,36903718.0,ns,128
collections,Parralel,39366,,,39855366.0,ns,132
collections,Parralel,39366,,,38132614.0,ns,136
collections,Parralel,39366,,,42206537.0,ns,140
collections,Parralel,39366,,,42337804.0,ns,144
collections,Parralel,39366,,,43194140.0,ns,148
collections,Parralel,39366,,,44229833.0,ns,152
collections,Parralel,39366,,,47711395.0,ns,156
collections,Parralel,39366,,,46164102.0,ns,160
collections,Parralel,39366,,,49401427.0,ns,164
collections,Parralel,39366,,,52756821.0,ns,168
collections,Parralel,39366,,,53414726.0,ns,172
collections,Parralel,39366,,,53317022.0,ns,176
collections,Parralel,39366,,,52830039.0,ns,180
collections,Parralel,39366,,,52733678.0,ns,184
collections,Parralel,39366,,,55452239.0,ns,188
collections,Parralel,39366,,,58083776.0,ns,192
collections,Parralel,39366,,,58381895.0,ns,196
collections,Parralel,39366,,,56524470.0,ns,200
collections,Parralel,39366,,,60930827.0,ns,204
collections,Parralel,39366,,,61489826.0,ns,208
collections,Parralel,39366,,,62286431.0,ns,212
collections,Parralel,39366,,,62351864.0,ns,216
collections,Parralel,39366,,,63898455.0,ns,220
collections,Parralel,39366,,,66833060.0,ns,224
collections,Parralel,39366,,,66021508.0,ns,228
collections,Parralel,39366,,,67243420.0,ns,232
collections,Parralel,39366,,,69920083.0,ns,236
collections,Parralel,39366,,,71421811.0,ns,240
collections,Parralel,39366,,,70938273.0,ns,244
collections,Parralel,39366,,,72481107.0,ns,248
collections,Parralel,39366,,,72115661.0,ns,252
collections,Parralel,39366,,,74279462.0,ns,256
collections,Parralel,39366,,,74939250.0,ns,260
collections,Parralel,39366,,,76762169.0,ns,264
collections,Parralel,39366,,,80375789.0,ns,268
collections,Parralel,39366,,,79803696.0,ns,272
collections,Parralel,39366,,,81696077.0,ns,276
collections,Parralel,39366,,,82775652.0,ns,280
collections,Parralel,39366,,,82623818.0,ns,284
collections,Parralel,39366,,,85510322.0,ns,288
collections,Parralel,39366,,,85336126.0,ns,292
collections,Parralel,39366,,,84758062.0,ns,296
collections,Parralel,39366,,,88082098.0,ns,300
collections,Parralel,39366,,,88608306.0,ns,304
collections,Parralel,39366,,,88932353.0,ns,308
collections,Parralel,39366,,,90726339.0,ns,312
collections,Parralel,39366,,,92294842.0,ns,316
collections,Parralel,39366,,,93273448.0,ns,320
collections,Parralel,39366,,,96238741.0,ns,324
collections,Parralel,39366,,,96485324.0,ns,328
collections,Parralel,39366,,,101297392.0,ns,332
collections,Parralel,39366,,,99377260.0,ns,336
collections,Parralel,39366,,,102683884.0,ns,340
collections,Parralel,39366,,,99877868.0,ns,344
collections,Parralel,39366,,,104153180.0,ns,348
collections,Parralel,39366,,,102678593.0,ns,352
collections,Parralel,39366,,,102823936.0,ns,356
collections,Parralel,39366,,,104265090.0,ns,360
collections,Parralel,39366,,,105455193.0,ns,364
collections,Parralel,39366,,,104824631.0,ns,368
collections,Parralel,39366,,,109771962.0,ns,372
collections,Parralel,39366,,,109253790.0,ns,376
collections,Parralel,39366,,,108427700.0,ns,380
collections,Parralel,39366,,,112177896.0,ns,384
collections,Parralel,39366,,,116761325.0,ns,388
collections,Parralel,39366,,,113024835.0,ns,392
collections,Parralel,39366,,,115926830.0,ns,396
collections,Parralel,39366,,,118185156.0,ns,400
