group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Parralel,9,,,998111.0,ns,55402
collections,Parralel,9,,,1981256.0,ns,110804
collections,Parralel,9,,,2970340.0,ns,166206
collections,Parralel,9,,,3959356.0,ns,221608
collections,Parralel,9,,,4960843.0,ns,277010
collections,Parralel,9,,,5944157.0,ns,332412
collections,Parralel,9,,,6986632.0,ns,387814
collections,Parralel,9,,,7910015.0,ns,443216
collections,Parralel,9,,,8882839.0,ns,498618
collections,Parralel,9,,,9871102.0,ns,554020
collections,Parralel,9,,,10861881.0,ns,609422
collections,Parralel,9,,,11823764.0,ns,664824
collections,Parralel,9,,,12834460.0,ns,720226
collections,Parralel,9,,,13806903.0,ns,775628
collections,Parralel,9,,,14789927.0,ns,831030
collections,Parralel,9,,,15789302.0,ns,886432
collections,Parralel,9,,,16642131.0,ns,941834
collections,Parralel,9,,,17614594.0,ns,997236
collections,Parralel,9,,,18589493.0,ns,1052638
collections,Parralel,9,,,19576994.0,ns,1108040
collections,Parralel,9,,,20562222.0,ns,1163442
collections,Parralel,9,,,21534306.0,ns,1218844
collections,Parralel,9,,,22671808.0,ns,1274246
collections,Parralel,9,,,23540458.0,ns,1329648
collections,Parralel,9,,,24507421.0,ns,1385050
collections,Parralel,9,,,25461380.0,ns,1440452
collections,Parralel,9,,,26787016.0,ns,1495854
collections,Parralel,9,,,27405646.0,ns,1551256
collections,Parralel,9,,,28378801.0,ns,1606658
collections,Parralel,9,,,30910619.0,ns,1662060
collections,Parralel,9,,,30321234.0,ns,1717462
collections,Parralel,9,,,31318203.0,ns,1772864
collections,Parralel,9,,,32314783.0,ns,1828266
collections,Parralel,9,,,33280584.0,ns,1883668
collections,Parralel,9,,,34666323.0,ns,1939070
collections,Parralel,9,,,35678862.0,ns,1994472
collections,Parralel,9,,,37800160.0,ns,2049874
collections,Parralel,9,,,37406081.0,ns,2105276
collections,Parralel,9,,,38446883.0,ns,2160678
collections,Parralel,9,,,39370625.0,ns,2216080
collections,Parralel,9,,,40827428.0,ns,2271482
collections,Parralel,9,,,41417023.0,ns,2326884
collections,Parralel,9,,,42444580.0,ns,2382286
collections,Parralel,9,,,44715780.0,ns,2437688
collections,Parralel,9,,,44062013.0,ns,2493090
collections,Parralel,9,,,45141668.0,ns,2548492
collections,Parralel,9,,,46185807.0,ns,2603894
collections,Parralel,9,,,47007688.0,ns,2659296
collections,Parralel,9,,,47970002.0,ns,2714698
collections,Parralel,9,,,48992720.0,ns,2770100
collections,Parralel,9,,,50054852.0,ns,2825502
collections,Parralel,9,,,51191684.0,ns,2880904
collections,Parralel,9,,,52021370.0,ns,2936306
collections,Parralel,9,,,52873659.0,ns,2991708
collections,Parralel,9,,,53880907.0,ns,3047110
collections,Parralel,9,,,54892445.0,ns,3102512
collections,Parralel,9,,,56045718.0,ns,3157914
collections,Parralel,9,,,57522237.0,ns,3213316
collections,Parralel,9,,,59249275.0,ns,3268718
collections,Parralel,9,,,59457055.0,ns,3324120
collections,Parralel,9,,,60181874.0,ns,3379522
collections,Parralel,9,,,60883079.0,ns,3434924
collections,Parralel,9,,,62680170.0,ns,3490326
collections,Parralel,9,,,63603351.0,ns,3545728
collections,Parralel,9,,,64183629.0,ns,3601130
collections,Parralel,9,,,64578330.0,ns,3656532
collections,Parralel,9,,,66036995.0,ns,3711934
collections,Parralel,9,,,66845832.0,ns,3767336
collections,Parralel,9,,,67941186.0,ns,3822738
collections,Parralel,9,,,68556179.0,ns,3878140
collections,Parralel,9,,,69540655.0,ns,3933542
collections,Parralel,9,,,70546471.0,ns,3988944
collections,Parralel,9,,,72399287.0,ns,4044346
collections,Parralel,9,,,73278776.0,ns,4099748
collections,Parralel,9,,,74348573.0,ns,4155150
collections,Parralel,9,,,75384886.0,ns,4210552
collections,Parralel,9,,,76113483.0,ns,4265954
collections,Parralel,9,,,76926928.0,ns,4321356
collections,Parralel,9,,,77348699.0,ns,4376758
collections,Parralel,9,,,78340039.0,ns,4432160
collections,Parralel,9,,,79350363.0,ns,4487562
collections,Parralel,9,,,81156841.0,ns,4542964
collections,Parralel,9,,,82190529.0,ns,4598366
collections,Parralel,9,,,82931318.0,ns,4653768
collections,Parralel,9,,,84381579.0,ns,4709170
collections,Parralel,9,,,84999277.0,ns,4764572
collections,Parralel,9,,,86060016.0,ns,4819974
collections,Parralel,9,,,87185527.0,ns,4875376
collections,Parralel,9,,,88142952.0,ns,4930778
collections,Parralel,9,,,89308759.0,ns,4986180
collections,Parralel,9,,,90138876.0,ns,5041582
collections,Parralel,9,,,91022012.0,ns,5096984
collections,Parralel,9,,,91231645.0,ns,5152386
collections,Parralel,9,,,92538927.0,ns,5207788
collections,Parralel,9,,,93067057.0,ns,5263190
collections,Parralel,9,,,94072061.0,ns,5318592
collections,Parralel,9,,,96616654.0,ns,5373994
collections,Parralel,9,,,96491118.0,ns,5429396
collections,Parralel,9,,,99163520.0,ns,5484798
collections,Parralel,9,,,98121546.0,ns,5540200
