group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,fold,1458,,,1001670.0,ns,25
collections,fold,1458,,,1999853.0,ns,50
collections,fold,1458,,,3015439.0,ns,75
collections,fold,1458,,,3995579.0,ns,100
collections,fold,1458,,,4998441.0,ns,125
collections,fold,1458,,,5995040.0,ns,150
collections,fold,1458,,,6993354.0,ns,175
collections,fold,1458,,,8002980.0,ns,200
collections,fold,1458,,,9024667.0,ns,225
collections,fold,1458,,,10014665.0,ns,250
collections,fold,1458,,,10996087.0,ns,275
collections,fold,1458,,,11922455.0,ns,300
collections,fold,1458,,,13623338.0,ns,325
collections,fold,1458,,,13910486.0,ns,350
collections,fold,1458,,,14867061.0,ns,375
collections,fold,1458,,,15902284.0,ns,400
collections,fold,1458,,,16912861.0,ns,425
collections,fold,1458,,,17913068.0,ns,450
collections,fold,1458,,,18898257.0,ns,475
collections,fold,1458,,,19793817.0,ns,500
collections,fold,1458,,,20772074.0,ns,525
collections,fold,1458,,,21761681.0,ns,550
collections,fold,1458,,,23145408.0,ns,575
collections,fold,1458,,,23752376.0,ns,600
collections,fold,1458,,,24659659.0,ns,625
collections,fold,1458,,,25632064.0,ns,650
collections,fold,1458,,,26697714.0,ns,675
collections,fold,1458,,,27725693.0,ns,700
collections,fold,1458,,,28684422.0,ns,725
collections,fold,1458,,,29732179.0,ns,750
collections,fold,1458,,,30676581.0,ns,775
collections,fold,1458,,,31616134.0,ns,800
collections,fold,1458,,,32368968.0,ns,825
collections,fold,1458,,,33741914.0,ns,850
collections,fold,1458,,,34637586.0,ns,875
collections,fold,1458,,,35603167.0,ns,900
collections,fold,1458,,,36659660.0,ns,925
collections,fold,1458,,,37590297.0,ns,950
collections,fold,1458,,,38608798.0,ns,975
collections,fold,1458,,,40786746.0,ns,1000
collections,fold,1458,,,40215122.0,ns,1025
collections,fold,1458,,,41284459.0,ns,1050
collections,fold,1458,,,42405153.0,ns,1075
collections,fold,1458,,,43102811.0,ns,1100
collections,fold,1458,,,44531032.0,ns,1125
collections,fold,1458,,,45485223.0,ns,1150
collections,fold,1458,,,46385773.0,ns,1175
collections,fold,1458,,,47484174.0,ns,1200
collections,fold,1458,,,48446009.0,ns,1225
collections,fold,1458,,,49463639.0,ns,1250
collections,fold,1458,,,50442005.0,ns,1275
collections,fold,1458,,,51435601.0,ns,1300
collections,fold,1458,,,52421942.0,ns,1325
collections,fold,1458,,,53236851.0,ns,1350
collections,fold,1458,,,54186002.0,ns,1375
collections,fold,1458,,,55079299.0,ns,1400
collections,fold,1458,,,56294679.0,ns,1425
collections,fold,1458,,,57359137.0,ns,1450
collections,fold,1458,,,58296797.0,ns,1475
collections,fold,1458,,,59342610.0,ns,1500
collections,fold,1458,,,60300307.0,ns,1525
collections,fold,1458,,,61314661.0,ns,1550
collections,fold,1458,,,62306151.0,ns,1575
collections,fold,1458,,,63128355.0,ns,1600
collections,fold,1458,,,64445586.0,ns,1625
collections,fold,1458,,,65591617.0,ns,1650
collections,fold,1458,,,65799127.0,ns,1675
collections,fold,1458,,,67161954.0,ns,1700
collections,fold,1458,,,68220090.0,ns,1725
collections,fold,1458,,,69110512.0,ns,1750
collections,fold,1458,,,70094017.0,ns,1775
collections,fold,1458,,,70760478.0,ns,1800
collections,fold,1458,,,72098199.0,ns,1825
collections,fold,1458,,,73435288.0,ns,1850
collections,fold,1458,,,74282217.0,ns,1875
collections,fold,1458,,,74523470.0,ns,1900
collections,fold,1458,,,75926843.0,ns,1925
collections,fold,1458,,,77124131.0,ns,1950
collections,fold,1458,,,77972622.0,ns,1975
collections,fold,1458,,,79113463.0,ns,2000
collections,fold,1458,,,80108992.0,ns,2025
collections,fold,1458,,,81072641.0,ns,2050
collections,fold,1458,,,81713033.0,ns,2075
collections,fold,1458,,,82955355.0,ns,2100
collections,fold,1458,,,84061099.0,ns,2125
collections,fold,1458,,,85035058.0,ns,2150
collections,fold,1458,,,86015888.0,ns,2175
collections,fold,1458,,,86590035.0,ns,2200
collections,fold,1458,,,87914290.0,ns,2225
collections,fold,1458,,,88836521.0,ns,2250
collections,fold,1458,,,90067151.0,ns,2275
collections,fold,1458,,,91364947.0,ns,2300
collections,fold,1458,,,91809050.0,ns,2325
collections,fold,1458,,,92383878.0,ns,2350
collections,fold,1458,,,93595933.0,ns,2375
collections,fold,1458,,,94676201.0,ns,2400
collections,fold,1458,,,95818544.0,ns,2425
collections,fold,1458,,,96922657.0,ns,2450
collections,fold,1458,,,97415632.0,ns,2475
collections,fold,1458,,,98032900.0,ns,2500
