group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,fold,4374,,,1072993.0,ns,8
collections,fold,4374,,,2146027.0,ns,16
collections,fold,4374,,,3315250.0,ns,24
collections,fold,4374,,,4371162.0,ns,32
collections,fold,4374,,,5362371.0,ns,40
collections,fold,4374,,,6428201.0,ns,48
collections,fold,4374,,,7438967.0,ns,56
collections,fold,4374,,,8552737.0,ns,64
collections,fold,4374,,,9722691.0,ns,72
collections,fold,4374,,,10686670.0,ns,80
collections,fold,4374,,,11581419.0,ns,88
collections,fold,4374,,,12691692.0,ns,96
collections,fold,4374,,,13745980.0,ns,104
collections,fold,4374,,,14829894.0,ns,112
collections,fold,4374,,,15911944.0,ns,120
collections,fold,4374,,,17017467.0,ns,128
collections,fold,4374,,,18045697.0,ns,136
collections,fold,4374,,,18851739.0,ns,144
collections,fold,4374,,,20118165.0,ns,152
collections,fold,4374,,,21009047.0,ns,160
collections,fold,4374,,,22028891.0,ns,168
collections,fold,4374,,,23161716.0,ns,176
collections,fold,4374,,,24303167.0,ns,184
collections,fold,4374,,,25298875.0,ns,192
collections,fold,4374,,,26522582.0,ns,200
collections,fold,4374,,,27581037.0,ns,208
collections,fold,4374,,,28493779.0,ns,216
collections,fold,4374,,,29400531.0,ns,224
collections,fold,4374,,,30957251.0,ns,232
collections,fold,4374,,,31594206.0,ns,240
collections,fold,4374,,,34228940.0,ns,248
collections,fold,4374,,,33657047.0,ns,256
collections,fold,4374,,,34789361.0,ns,264
collections,fold,4374,,,35839320.0,ns,272
collections,fold,4374,,,36939324.0,ns,280
collections,fold,4374,,,37909926.0,ns,288
collections,fold,4374,,,38988790.0,ns,296
collections,fold,4374,,,39943120.0,ns,304
collections,fold,4374,,,41019169.0,ns,312
collections,fold,4374,,,42220784.0,ns,320
collections,fold,4374,,,43305228.0,ns,328
collections,fold,4374,,,44363784.0,ns,336
collections,fold,4374,,,45302805.0,ns,344
collections,fold,4374,,,46322249.0,ns,352
collections,fold,4374,,,47531789.0,ns,360
collections,fold,4374,,,48486379.0,ns,368
collections,fold,4374,,,49618062.0,ns,376
collections,fold,4374,,,50648426.0,ns,384
collections,fold,4374,,,51600302.0,ns,392
collections,fold,4374,,,52671221.0,ns,400
collections,fold,4374,,,53765222.0,ns,408
collections,fold,4374,,,54750071.0,ns,416
collections,fold,4374,,,55760056.0,ns,424
collections,fold,4374,,,56949958.0,ns,432
collections,fold,4374,,,58015097.0,ns,440
collections,fold,4374,,,59156748.0,ns,448
collections,fold,4374,,,60116148.0,ns,456
collections,fold,4374,,,61950690.0,ns,464
collections,fold,4374,,,65626487.0,ns,472
collections,fold,4374,,,63808396.0,ns,480
collections,fold,4374,,,64794606.0,ns,488
collections,fold,4374,,,65790164.0,ns,496
collections,fold,4374,,,66711914.0,ns,504
collections,fold,4374,,,68790913.0,ns,512
collections,fold,4374,,,69734515.0,ns,520
collections,fold,4374,,,70739971.0,ns,528
collections,fold,4374,,,70937752.0,ns,536
collections,fold,4374,,,71468608.0,ns,544
collections,fold,4374,,,72849178.0,ns,552
collections,fold,4374,,,74337921.0,ns,560
collections,fold,4374,,,76135975.0,ns,568
collections,fold,4374,,,78913596.0,ns,576
collections,fold,4374,,,81591680.0,ns,584
collections,fold,4374,,,81758954.0,ns,592
collections,fold,4374,,,80877310.0,ns,600
collections,fold,4374,,,83495111.0,ns,608
collections,fold,4374,,,84624461.0,ns,616
collections,fold,4374,,,83377791.0,ns,624
collections,fold,4374,,,86841770.0,ns,632
collections,fold,4374,,,88816145.0,ns,640
collections,fold,4374,,,86215676.0,ns,648
collections,fold,4374,,,87407693.0,ns,656
collections,fold,4374,,,87978954.0,ns,664
collections,fold,4374,,,89057338.0,ns,672
collections,fold,4374,,,90963444.0,ns,680
collections,fold,4374,,,90765282.0,ns,688
collections,fold,4374,,,91689285.0,ns,696
collections,fold,4374,,,92827110.0,ns,704
collections,fold,4374,,,94053020.0,ns,712
collections,fold,4374,,,95041615.0,ns,720
collections,fold,4374,,,96830552.0,ns,728
collections,fold,4374,,,97585588.0,ns,736
collections,fold,4374,,,98644895.0,ns,744
collections,fold,4374,,,99230814.0,ns,752
collections,fold,4374,,,100142385.0,ns,760
collections,fold,4374,,,101264971.0,ns,768
collections,fold,4374,,,102288231.0,ns,776
collections,fold,4374,,,103414985.0,ns,784
collections,fold,4374,,,104391767.0,ns,792
collections,fold,4374,,,105355876.0,ns,800
