group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Flatten,0,,,972865.0,ns,39499
collections,Flatten,0,,,1986096.0,ns,78998
collections,Flatten,0,,,2943633.0,ns,118497
collections,Flatten,0,,,4121304.0,ns,157996
collections,Flatten,0,,,4881470.0,ns,197495
collections,Flatten,0,,,5867239.0,ns,236994
collections,Flatten,0,,,7069215.0,ns,276493
collections,Flatten,0,,,7806639.0,ns,315992
collections,Flatten,0,,,9051725.0,ns,355491
collections,Flatten,0,,,9813976.0,ns,394990
collections,Flatten,0,,,11000382.0,ns,434489
collections,Flatten,0,,,12152264.0,ns,473988
collections,Flatten,0,,,13145477.0,ns,513487
collections,Flatten,0,,,13905523.0,ns,552986
collections,Flatten,0,,,15183331.0,ns,592485
collections,Flatten,0,,,16245944.0,ns,631984
collections,Flatten,0,,,16873302.0,ns,671483
collections,Flatten,0,,,17858731.0,ns,710982
collections,Flatten,0,,,18772135.0,ns,750481
collections,Flatten,0,,,19932964.0,ns,789980
collections,Flatten,0,,,20635181.0,ns,829479
collections,Flatten,0,,,21335475.0,ns,868978
collections,Flatten,0,,,22859485.0,ns,908477
collections,Flatten,0,,,23696676.0,ns,947976
collections,Flatten,0,,,24588139.0,ns,987475
collections,Flatten,0,,,25416513.0,ns,1026974
collections,Flatten,0,,,26510796.0,ns,1066473
collections,Flatten,0,,,28293261.0,ns,1105972
collections,Flatten,0,,,28837892.0,ns,1145471
collections,Flatten,0,,,30180342.0,ns,1184970
collections,Flatten,0,,,30949897.0,ns,1224469
collections,Flatten,0,,,31784051.0,ns,1263968
collections,Flatten,0,,,32711191.0,ns,1303467
collections,Flatten,0,,,34189646.0,ns,1342966
collections,Flatten,0,,,34729889.0,ns,1382465
collections,Flatten,0,,,35735946.0,ns,1421964
collections,Flatten,0,,,36827164.0,ns,1461463
collections,Flatten,0,,,37793648.0,ns,1500962
collections,Flatten,0,,,39205316.0,ns,1540461
collections,Flatten,0,,,38745955.0,ns,1579960
collections,Flatten,0,,,39801195.0,ns,1619459
collections,Flatten,0,,,40830326.0,ns,1658958
collections,Flatten,0,,,41884545.0,ns,1698457
collections,Flatten,0,,,42735711.0,ns,1737956
collections,Flatten,0,,,43819115.0,ns,1777455
collections,Flatten,0,,,44788233.0,ns,1816954
collections,Flatten,0,,,45778802.0,ns,1856453
collections,Flatten,0,,,46886601.0,ns,1895952
collections,Flatten,0,,,48140183.0,ns,1935451
collections,Flatten,0,,,48583966.0,ns,1974950
collections,Flatten,0,,,49634697.0,ns,2014449
collections,Flatten,0,,,50688484.0,ns,2053948
collections,Flatten,0,,,52043457.0,ns,2093447
collections,Flatten,0,,,52573792.0,ns,2132946
collections,Flatten,0,,,53561114.0,ns,2172445
collections,Flatten,0,,,54530303.0,ns,2211944
collections,Flatten,0,,,55542403.0,ns,2251443
collections,Flatten,0,,,56969971.0,ns,2290942
collections,Flatten,0,,,57700923.0,ns,2330441
collections,Flatten,0,,,58427446.0,ns,2369940
collections,Flatten,0,,,59308108.0,ns,2409439
collections,Flatten,0,,,60349312.0,ns,2448938
collections,Flatten,0,,,61173961.0,ns,2488437
collections,Flatten,0,,,62116458.0,ns,2527936
collections,Flatten,0,,,63368878.0,ns,2567435
collections,Flatten,0,,,64437504.0,ns,2606934
collections,Flatten,0,,,65420919.0,ns,2646433
collections,Flatten,0,,,66095415.0,ns,2685932
collections,Flatten,0,,,67184829.0,ns,2725431
collections,Flatten,0,,,68600505.0,ns,2764930
collections,Flatten,0,,,69026274.0,ns,2804429
collections,Flatten,0,,,70050115.0,ns,2843928
collections,Flatten,0,,,71403365.0,ns,2883427
collections,Flatten,0,,,71962664.0,ns,2922926
collections,Flatten,0,,,73147597.0,ns,2962425
collections,Flatten,0,,,74125813.0,ns,3001924
collections,Flatten,0,,,75490444.0,ns,3041423
collections,Flatten,0,,,75834820.0,ns,3080922
collections,Flatten,0,,,76895770.0,ns,3120421
collections,Flatten,0,,,78116872.0,ns,3159920
collections,Flatten,0,,,79121938.0,ns,3199419
collections,Flatten,0,,,80058366.0,ns,3238918
collections,Flatten,0,,,81928625.0,ns,3278417
collections,Flatten,0,,,81723110.0,ns,3317916
collections,Flatten,0,,,82827632.0,ns,3357415
collections,Flatten,0,,,84803119.0,ns,3396914
collections,Flatten,0,,,84730462.0,ns,3436413
collections,Flatten,0,,,85654987.0,ns,3475912
collections,Flatten,0,,,86992868.0,ns,3515411
collections,Flatten,0,,,87622289.0,ns,3554910
collections,Flatten,0,,,88573854.0,ns,3594409
collections,Flatten,0,,,90285555.0,ns,3633908
collections,Flatten,0,,,90576122.0,ns,3673407
collections,Flatten,0,,,92460167.0,ns,3712906
collections,Flatten,0,,,92525860.0,ns,3752405
collections,Flatten,0,,,93384010.0,ns,3791904
collections,Flatten,0,,,95291640.0,ns,3831403
collections,Flatten,0,,,95422486.0,ns,3870902
collections,Flatten,0,,,96435466.0,ns,3910401
collections,Flatten,0,,,97744533.0,ns,3949900
