group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Flatten,1000,,,980499.0,ns,375488
collections,Flatten,1000,,,1949156.0,ns,750976
collections,Flatten,1000,,,2985489.0,ns,1126464
collections,Flatten,1000,,,3990975.0,ns,1501952
collections,Flatten,1000,,,4978838.0,ns,1877440
collections,Flatten,1000,,,6011906.0,ns,2252928
collections,Flatten,1000,,,6884953.0,ns,2628416
collections,Flatten,1000,,,7974176.0,ns,3003904
collections,Flatten,1000,,,8954585.0,ns,3379392
collections,Flatten,1000,,,9903835.0,ns,3754880
collections,Flatten,1000,,,10865499.0,ns,4130368
collections,Flatten,1000,,,11922170.0,ns,4505856
collections,Flatten,1000,,,12915043.0,ns,4881344
collections,Flatten,1000,,,13867609.0,ns,5256832
collections,Flatten,1000,,,14761846.0,ns,5632320
collections,Flatten,1000,,,15758416.0,ns,6007808
collections,Flatten,1000,,,16966161.0,ns,6383296
collections,Flatten,1000,,,17782522.0,ns,6758784
collections,Flatten,1000,,,18724488.0,ns,7134272
collections,Flatten,1000,,,19667807.0,ns,7509760
collections,Flatten,1000,,,20707969.0,ns,7885248
collections,Flatten,1000,,,21638594.0,ns,8260736
collections,Flatten,1000,,,22604666.0,ns,8636224
collections,Flatten,1000,,,23603910.0,ns,9011712
collections,Flatten,1000,,,25217867.0,ns,9387200
collections,Flatten,1000,,,25592950.0,ns,9762688
collections,Flatten,1000,,,26568009.0,ns,10138176
collections,Flatten,1000,,,27521337.0,ns,10513664
collections,Flatten,1000,,,28531813.0,ns,10889152
collections,Flatten,1000,,,29685557.0,ns,11264640
collections,Flatten,1000,,,30488573.0,ns,11640128
collections,Flatten,1000,,,31685708.0,ns,12015616
collections,Flatten,1000,,,32745175.0,ns,12391104
collections,Flatten,1000,,,33524787.0,ns,12766592
collections,Flatten,1000,,,34510767.0,ns,13142080
collections,Flatten,1000,,,36058920.0,ns,13517568
collections,Flatten,1000,,,36382446.0,ns,13893056
collections,Flatten,1000,,,37479073.0,ns,14268544
collections,Flatten,1000,,,38357320.0,ns,14644032
collections,Flatten,1000,,,39286684.0,ns,15019520
collections,Flatten,1000,,,40591821.0,ns,15395008
collections,Flatten,1000,,,41667138.0,ns,15770496
collections,Flatten,1000,,,43071953.0,ns,16145984
collections,Flatten,1000,,,43753531.0,ns,16521472
collections,Flatten,1000,,,43669625.0,ns,16896960
collections,Flatten,1000,,,44549915.0,ns,17272448
collections,Flatten,1000,,,45832360.0,ns,17647936
collections,Flatten,1000,,,46715346.0,ns,18023424
collections,Flatten,1000,,,47697449.0,ns,18398912
collections,Flatten,1000,,,48550399.0,ns,18774400
collections,Flatten,1000,,,50038429.0,ns,19149888
collections,Flatten,1000,,,50515344.0,ns,19525376
collections,Flatten,1000,,,51457892.0,ns,19900864
collections,Flatten,1000,,,52444842.0,ns,20276352
collections,Flatten,1000,,,53758636.0,ns,20651840
collections,Flatten,1000,,,54305462.0,ns,21027328
collections,Flatten,1000,,,55396669.0,ns,21402816
collections,Flatten,1000,,,56400943.0,ns,21778304
collections,Flatten,1000,,,57424683.0,ns,22153792
collections,Flatten,1000,,,58270920.0,ns,22529280
collections,Flatten,1000,,,59499864.0,ns,22904768
collections,Flatten,1000,,,60224704.0,ns,23280256
collections,Flatten,1000,,,60979690.0,ns,23655744
collections,Flatten,1000,,,62267124.0,ns,24031232
collections,Flatten,1000,,,63246140.0,ns,24406720
collections,Flatten,1000,,,64196343.0,ns,24782208
collections,Flatten,1000,,,65086633.0,ns,25157696
collections,Flatten,1000,,,67239651.0,ns,25533184
collections,Flatten,1000,,,69644762.0,ns,25908672
collections,Flatten,1000,,,68095686.0,ns,26284160
collections,Flatten,1000,,,68970106.0,ns,26659648
collections,Flatten,1000,,,70054981.0,ns,27035136
collections,Flatten,1000,,,70835144.0,ns,27410624
collections,Flatten,1000,,,71824209.0,ns,27786112
collections,Flatten,1000,,,72923481.0,ns,28161600
collections,Flatten,1000,,,75855290.0,ns,28537088
collections,Flatten,1000,,,74662522.0,ns,28912576
collections,Flatten,1000,,,75319635.0,ns,29288064
collections,Flatten,1000,,,86261176.0,ns,29663552
collections,Flatten,1000,,,78722136.0,ns,30039040
collections,Flatten,1000,,,78465415.0,ns,30414528
collections,Flatten,1000,,,79571891.0,ns,30790016
collections,Flatten,1000,,,80829209.0,ns,31165504
collections,Flatten,1000,,,81572783.0,ns,31540992
collections,Flatten,1000,,,82348267.0,ns,31916480
collections,Flatten,1000,,,84726577.0,ns,32291968
collections,Flatten,1000,,,96842532.0,ns,32667456
collections,Flatten,1000,,,85284434.0,ns,33042944
collections,Flatten,1000,,,85912652.0,ns,33418432
collections,Flatten,1000,,,87080513.0,ns,33793920
collections,Flatten,1000,,,88432829.0,ns,34169408
collections,Flatten,1000,,,89790796.0,ns,34544896
collections,Flatten,1000,,,89921060.0,ns,34920384
collections,Flatten,1000,,,91845029.0,ns,35295872
collections,Flatten,1000,,,92109836.0,ns,35671360
collections,Flatten,1000,,,93258200.0,ns,36046848
collections,Flatten,1000,,,94227157.0,ns,36422336
collections,Flatten,1000,,,95120653.0,ns,36797824
collections,Flatten,1000,,,96532932.0,ns,37173312
collections,Flatten,1000,,,97115544.0,ns,37548800
