group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Flatten2,11,,,1016436.0,ns,384067
collections,Flatten2,11,,,1969834.0,ns,768134
collections,Flatten2,11,,,2944853.0,ns,1152201
collections,Flatten2,11,,,3920533.0,ns,1536268
collections,Flatten2,11,,,4987343.0,ns,1920335
collections,Flatten2,11,,,5891529.0,ns,2304402
collections,Flatten2,11,,,6902115.0,ns,2688469
collections,Flatten2,11,,,7881611.0,ns,3072536
collections,Flatten2,11,,,8844948.0,ns,3456603
collections,Flatten2,11,,,9803065.0,ns,3840670
collections,Flatten2,11,,,10798282.0,ns,4224737
collections,Flatten2,11,,,11934212.0,ns,4608804
collections,Flatten2,11,,,12852774.0,ns,4992871
collections,Flatten2,11,,,14092609.0,ns,5376938
collections,Flatten2,11,,,14728623.0,ns,5761005
collections,Flatten2,11,,,15708840.0,ns,6145072
collections,Flatten2,11,,,16686434.0,ns,6529139
collections,Flatten2,11,,,17624363.0,ns,6913206
collections,Flatten2,11,,,19112183.0,ns,7297273
collections,Flatten2,11,,,20157434.0,ns,7681340
collections,Flatten2,11,,,20641972.0,ns,8065407
collections,Flatten2,11,,,21657857.0,ns,8449474
collections,Flatten2,11,,,22554228.0,ns,8833541
collections,Flatten2,11,,,23777773.0,ns,9217608
collections,Flatten2,11,,,24639148.0,ns,9601675
collections,Flatten2,11,,,25655465.0,ns,9985742
collections,Flatten2,11,,,26627688.0,ns,10369809
collections,Flatten2,11,,,27646589.0,ns,10753876
collections,Flatten2,11,,,28617931.0,ns,11137943
collections,Flatten2,11,,,29606825.0,ns,11522010
collections,Flatten2,11,,,30618503.0,ns,11906077
collections,Flatten2,11,,,31589373.0,ns,12290144
collections,Flatten2,11,,,32585732.0,ns,12674211
collections,Flatten2,11,,,33545211.0,ns,13058278
collections,Flatten2,11,,,34545978.0,ns,13442345
collections,Flatten2,11,,,35505788.0,ns,13826412
collections,Flatten2,11,,,36492208.0,ns,14210479
collections,Flatten2,11,,,37497504.0,ns,14594546
collections,Flatten2,11,,,38471079.0,ns,14978613
collections,Flatten2,11,,,39562967.0,ns,15362680
collections,Flatten2,11,,,40479405.0,ns,15746747
collections,Flatten2,11,,,42921205.0,ns,16130814
collections,Flatten2,11,,,42524541.0,ns,16514881
collections,Flatten2,11,,,44200034.0,ns,16898948
collections,Flatten2,11,,,44164516.0,ns,17283015
collections,Flatten2,11,,,45493890.0,ns,17667082
collections,Flatten2,11,,,46922910.0,ns,18051149
collections,Flatten2,11,,,47358968.0,ns,18435216
collections,Flatten2,11,,,48121357.0,ns,18819283
collections,Flatten2,11,,,49216081.0,ns,19203350
collections,Flatten2,11,,,50111850.0,ns,19587417
collections,Flatten2,11,,,51012239.0,ns,19971484
collections,Flatten2,11,,,52032181.0,ns,20355551
collections,Flatten2,11,,,52996871.0,ns,20739618
collections,Flatten2,11,,,53995143.0,ns,21123685
collections,Flatten2,11,,,55020587.0,ns,21507752
collections,Flatten2,11,,,55936283.0,ns,21891819
collections,Flatten2,11,,,56931009.0,ns,22275886
collections,Flatten2,11,,,58096455.0,ns,22659953
collections,Flatten2,11,,,62086117.0,ns,23044020
collections,Flatten2,11,,,60041302.0,ns,23428087
collections,Flatten2,11,,,61700875.0,ns,23812154
collections,Flatten2,11,,,61904426.0,ns,24196221
collections,Flatten2,11,,,62893962.0,ns,24580288
collections,Flatten2,11,,,64591956.0,ns,24964355
collections,Flatten2,11,,,64906165.0,ns,25348422
collections,Flatten2,11,,,65895411.0,ns,25732489
collections,Flatten2,11,,,67041992.0,ns,26116556
collections,Flatten2,11,,,67900962.0,ns,26500623
collections,Flatten2,11,,,68762538.0,ns,26884690
collections,Flatten2,11,,,69819701.0,ns,27268757
collections,Flatten2,11,,,70887043.0,ns,27652824
collections,Flatten2,11,,,71834850.0,ns,28036891
collections,Flatten2,11,,,73515693.0,ns,28420958
collections,Flatten2,11,,,74783770.0,ns,28805025
collections,Flatten2,11,,,74932790.0,ns,29189092
collections,Flatten2,11,,,75700139.0,ns,29573159
collections,Flatten2,11,,,77440903.0,ns,29957226
collections,Flatten2,11,,,77922417.0,ns,30341293
collections,Flatten2,11,,,78971625.0,ns,30725360
collections,Flatten2,11,,,80143923.0,ns,31109427
collections,Flatten2,11,,,80892827.0,ns,31493494
collections,Flatten2,11,,,81391743.0,ns,31877561
collections,Flatten2,11,,,82235285.0,ns,32261628
collections,Flatten2,11,,,83467266.0,ns,32645695
collections,Flatten2,11,,,84446842.0,ns,33029762
collections,Flatten2,11,,,85514154.0,ns,33413829
collections,Flatten2,11,,,86872061.0,ns,33797896
collections,Flatten2,11,,,88417359.0,ns,34181963
collections,Flatten2,11,,,88457524.0,ns,34566030
collections,Flatten2,11,,,89758574.0,ns,34950097
collections,Flatten2,11,,,90569384.0,ns,35334164
collections,Flatten2,11,,,91500421.0,ns,35718231
collections,Flatten2,11,,,92706604.0,ns,36102298
collections,Flatten2,11,,,93378824.0,ns,36486365
collections,Flatten2,11,,,94448129.0,ns,36870432
collections,Flatten2,11,,,95405645.0,ns,37254499
collections,Flatten2,11,,,96368450.0,ns,37638566
collections,Flatten2,11,,,98390824.0,ns,38022633
collections,Flatten2,11,,,98908554.0,ns,38406700
