group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Flatten2,900,,,979891.0,ns,63
collections,Flatten2,900,,,1974899.0,ns,126
collections,Flatten2,900,,,2971942.0,ns,189
collections,Flatten2,900,,,3954898.0,ns,252
collections,Flatten2,900,,,4940389.0,ns,315
collections,Flatten2,900,,,5929025.0,ns,378
collections,Flatten2,900,,,6978927.0,ns,441
collections,Flatten2,900,,,7938800.0,ns,504
collections,Flatten2,900,,,8874808.0,ns,567
collections,Flatten2,900,,,9867151.0,ns,630
collections,Flatten2,900,,,10838706.0,ns,693
collections,Flatten2,900,,,11830399.0,ns,756
collections,Flatten2,900,,,12839755.0,ns,819
collections,Flatten2,900,,,13918731.0,ns,882
collections,Flatten2,900,,,14851693.0,ns,945
collections,Flatten2,900,,,15781760.0,ns,1008
collections,Flatten2,900,,,16776678.0,ns,1071
collections,Flatten2,900,,,19677556.0,ns,1134
collections,Flatten2,900,,,19928148.0,ns,1197
collections,Flatten2,900,,,19771423.0,ns,1260
collections,Flatten2,900,,,20775850.0,ns,1323
collections,Flatten2,900,,,21847532.0,ns,1386
collections,Flatten2,900,,,23114752.0,ns,1449
collections,Flatten2,900,,,23943559.0,ns,1512
collections,Flatten2,900,,,24837558.0,ns,1575
collections,Flatten2,900,,,26532992.0,ns,1638
collections,Flatten2,900,,,26443635.0,ns,1701
collections,Flatten2,900,,,27542749.0,ns,1764
collections,Flatten2,900,,,28524463.0,ns,1827
collections,Flatten2,900,,,29538888.0,ns,1890
collections,Flatten2,900,,,30486167.0,ns,1953
collections,Flatten2,900,,,31600590.0,ns,2016
collections,Flatten2,900,,,32214613.0,ns,2079
collections,Flatten2,900,,,33304090.0,ns,2142
collections,Flatten2,900,,,34267398.0,ns,2205
collections,Flatten2,900,,,35702984.0,ns,2268
collections,Flatten2,900,,,36369667.0,ns,2331
collections,Flatten2,900,,,37848134.0,ns,2394
collections,Flatten2,900,,,38276007.0,ns,2457
collections,Flatten2,900,,,39677709.0,ns,2520
collections,Flatten2,900,,,40382153.0,ns,2583
collections,Flatten2,900,,,41229634.0,ns,2646
collections,Flatten2,900,,,42173307.0,ns,2709
collections,Flatten2,900,,,43476284.0,ns,2772
collections,Flatten2,900,,,44219410.0,ns,2835
collections,Flatten2,900,,,45121033.0,ns,2898
collections,Flatten2,900,,,46032365.0,ns,2961
collections,Flatten2,900,,,46974714.0,ns,3024
collections,Flatten2,900,,,48029927.0,ns,3087
collections,Flatten2,900,,,49883367.0,ns,3150
collections,Flatten2,900,,,49969959.0,ns,3213
collections,Flatten2,900,,,51021856.0,ns,3276
collections,Flatten2,900,,,52024488.0,ns,3339
collections,Flatten2,900,,,52954465.0,ns,3402
collections,Flatten2,900,,,54219180.0,ns,3465
collections,Flatten2,900,,,54923343.0,ns,3528
collections,Flatten2,900,,,56120331.0,ns,3591
collections,Flatten2,900,,,56946242.0,ns,3654
collections,Flatten2,900,,,57862343.0,ns,3717
collections,Flatten2,900,,,59050374.0,ns,3780
collections,Flatten2,900,,,60526506.0,ns,3843
collections,Flatten2,900,,,60909194.0,ns,3906
collections,Flatten2,900,,,61774670.0,ns,3969
collections,Flatten2,900,,,62739081.0,ns,4032
collections,Flatten2,900,,,63654661.0,ns,4095
collections,Flatten2,900,,,64557877.0,ns,4158
collections,Flatten2,900,,,65990698.0,ns,4221
collections,Flatten2,900,,,66671828.0,ns,4284
collections,Flatten2,900,,,67566959.0,ns,4347
collections,Flatten2,900,,,68709945.0,ns,4410
collections,Flatten2,900,,,69558669.0,ns,4473
collections,Flatten2,900,,,70593544.0,ns,4536
collections,Flatten2,900,,,71636872.0,ns,4599
collections,Flatten2,900,,,72800548.0,ns,4662
collections,Flatten2,900,,,73922005.0,ns,4725
collections,Flatten2,900,,,75181199.0,ns,4788
collections,Flatten2,900,,,75895951.0,ns,4851
collections,Flatten2,900,,,76346207.0,ns,4914
collections,Flatten2,900,,,77261205.0,ns,4977
collections,Flatten2,900,,,78324653.0,ns,5040
collections,Flatten2,900,,,80880793.0,ns,5103
collections,Flatten2,900,,,80742514.0,ns,5166
collections,Flatten2,900,,,83356152.0,ns,5229
collections,Flatten2,900,,,83456941.0,ns,5292
collections,Flatten2,900,,,84845599.0,ns,5355
collections,Flatten2,900,,,85044613.0,ns,5418
collections,Flatten2,900,,,86280875.0,ns,5481
collections,Flatten2,900,,,97980509.0,ns,5544
collections,Flatten2,900,,,88045208.0,ns,5607
collections,Flatten2,900,,,89156916.0,ns,5670
collections,Flatten2,900,,,90185808.0,ns,5733
collections,Flatten2,900,,,91010718.0,ns,5796
collections,Flatten2,900,,,92750666.0,ns,5859
collections,Flatten2,900,,,93236779.0,ns,5922
collections,Flatten2,900,,,100592865.0,ns,5985
collections,Flatten2,900,,,94992487.0,ns,6048
collections,Flatten2,900,,,96116878.0,ns,6111
collections,Flatten2,900,,,97104253.0,ns,6174
collections,Flatten2,900,,,98111755.0,ns,6237
collections,Flatten2,900,,,99026682.0,ns,6300
