group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Kyran Map,3188646,,,75750432.0,ns,1
collections,Kyran Map,3188646,,,75417177.0,ns,1
collections,Kyran Map,3188646,,,75378022.0,ns,1
collections,Kyran Map,3188646,,,75427216.0,ns,1
collections,Kyran Map,3188646,,,75390346.0,ns,1
collections,Kyran Map,3188646,,,75487058.0,ns,1
collections,Kyran Map,3188646,,,75384064.0,ns,1
collections,Kyran Map,3188646,,,75373193.0,ns,1
collections,Kyran Map,3188646,,,75435461.0,ns,1
collections,Kyran Map,3188646,,,75466279.0,ns,1
collections,Kyran Map,3188646,,,75392611.0,ns,1
collections,Kyran Map,3188646,,,75424941.0,ns,1
collections,Kyran Map,3188646,,,75368354.0,ns,1
collections,Kyran Map,3188646,,,75408100.0,ns,1
collections,Kyran Map,3188646,,,75377362.0,ns,1
collections,Kyran Map,3188646,,,75458164.0,ns,1
collections,Kyran Map,3188646,,,75458935.0,ns,1
collections,Kyran Map,3188646,,,75388762.0,ns,1
collections,Kyran Map,3188646,,,75398111.0,ns,1
collections,Kyran Map,3188646,,,75467550.0,ns,1
collections,Kyran Map,3188646,,,75416064.0,ns,1
collections,Kyran Map,3188646,,,75382712.0,ns,1
collections,Kyran Map,3188646,,,75385386.0,ns,1
collections,Kyran Map,3188646,,,75421544.0,ns,1
collections,Kyran Map,3188646,,,75460408.0,ns,1
collections,Kyran Map,3188646,,,75818249.0,ns,1
collections,Kyran Map,3188646,,,75557710.0,ns,1
collections,Kyran Map,3188646,,,75369667.0,ns,1
collections,Kyran Map,3188646,,,75524077.0,ns,1
collections,Kyran Map,3188646,,,75432585.0,ns,1
collections,Kyran Map,3188646,,,75427395.0,ns,1
collections,Kyran Map,3188646,,,75438065.0,ns,1
collections,Kyran Map,3188646,,,75386949.0,ns,1
collections,Kyran Map,3188646,,,75489001.0,ns,1
collections,Kyran Map,3188646,,,75350591.0,ns,1
collections,Kyran Map,3188646,,,75423337.0,ns,1
collections,Kyran Map,3188646,,,75446261.0,ns,1
collections,Kyran Map,3188646,,,75398431.0,ns,1
collections,Kyran Map,3188646,,,75433025.0,ns,1
collections,Kyran Map,3188646,,,75452563.0,ns,1
collections,Kyran Map,3188646,,,75397148.0,ns,1
collections,Kyran Map,3188646,,,75409462.0,ns,1
collections,Kyran Map,3188646,,,75375578.0,ns,1
collections,Kyran Map,3188646,,,75415863.0,ns,1
collections,Kyran Map,3188646,,,75403680.0,ns,1
collections,Kyran Map,3188646,,,75438396.0,ns,1
collections,Kyran Map,3188646,,,75487457.0,ns,1
collections,Kyran Map,3188646,,,75372552.0,ns,1
collections,Kyran Map,3188646,,,75450579.0,ns,1
collections,Kyran Map,3188646,,,75475134.0,ns,1
collections,Kyran Map,3188646,,,75419190.0,ns,1
collections,Kyran Map,3188646,,,75440820.0,ns,1
collections,Kyran Map,3188646,,,75729412.0,ns,1
collections,Kyran Map,3188646,,,75426533.0,ns,1
collections,Kyran Map,3188646,,,75354599.0,ns,1
collections,Kyran Map,3188646,,,75405743.0,ns,1
collections,Kyran Map,3188646,,,75440340.0,ns,1
collections,Kyran Map,3188646,,,75397649.0,ns,1
collections,Kyran Map,3188646,,,75352905.0,ns,1
collections,Kyran Map,3188646,,,75324942.0,ns,1
collections,Kyran Map,3188646,,,75393632.0,ns,1
collections,Kyran Map,3188646,,,75420291.0,ns,1
collections,Kyran Map,3188646,,,75489101.0,ns,1
collections,Kyran Map,3188646,,,75368464.0,ns,1
collections,Kyran Map,3188646,,,75421293.0,ns,1
collections,Kyran Map,3188646,,,75496033.0,ns,1
collections,Kyran Map,3188646,,,75427605.0,ns,1
collections,Kyran Map,3188646,,,75443656.0,ns,1
collections,Kyran Map,3188646,,,75299865.0,ns,1
collections,Kyran Map,3188646,,,75368193.0,ns,1
collections,Kyran Map,3188646,,,75346853.0,ns,1
collections,Kyran Map,3188646,,,75411254.0,ns,1
collections,Kyran Map,3188646,,,75426543.0,ns,1
collections,Kyran Map,3188646,,,75392980.0,ns,1
collections,Kyran Map,3188646,,,75397419.0,ns,1
collections,Kyran Map,3188646,,,75535267.0,ns,1
collections,Kyran Map,3188646,,,75389393.0,ns,1
collections,Kyran Map,3188646,,,75378122.0,ns,1
collections,Kyran Map,3188646,,,75651105.0,ns,1
collections,Kyran Map,3188646,,,75554463.0,ns,1
collections,Kyran Map,3188646,,,75409271.0,ns,1
collections,Kyran Map,3188646,,,75405693.0,ns,1
collections,Kyran Map,3188646,,,75395034.0,ns,1
collections,Kyran Map,3188646,,,75352644.0,ns,1
collections,Kyran Map,3188646,,,75377350.0,ns,1
collections,Kyran Map,3188646,,,75394152.0,ns,1
collections,Kyran Map,3188646,,,75453995.0,ns,1
collections,Kyran Map,3188646,,,75373342.0,ns,1
collections,Kyran Map,3188646,,,75400124.0,ns,1
collections,Kyran Map,3188646,,,75448684.0,ns,1
collections,Kyran Map,3188646,,,75460376.0,ns,1
collections,Kyran Map,3188646,,,75451590.0,ns,1
collections,Kyran Map,3188646,,,75387018.0,ns,1
collections,Kyran Map,3188646,,,75373604.0,ns,1
collections,Kyran Map,3188646,,,75419148.0,ns,1
collections,Kyran Map,3188646,,,75454175.0,ns,1
collections,Kyran Map,3188646,,,75409280.0,ns,1
collections,Kyran Map,3188646,,,75383962.0,ns,1
collections,Kyran Map,3188646,,,75397278.0,ns,1
collections,Kyran Map,3188646,,,75382560.0,ns,1
