group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Kyran Map,900,,,986192.0,ns,63
collections,Kyran Map,900,,,1964038.0,ns,126
collections,Kyran Map,900,,,2979937.0,ns,189
collections,Kyran Map,900,,,3964345.0,ns,252
collections,Kyran Map,900,,,4960526.0,ns,315
collections,Kyran Map,900,,,5944154.0,ns,378
collections,Kyran Map,900,,,6893396.0,ns,441
collections,Kyran Map,900,,,8091766.0,ns,504
collections,Kyran Map,900,,,8952273.0,ns,567
collections,Kyran Map,900,,,9978621.0,ns,630
collections,Kyran Map,900,,,10907755.0,ns,693
collections,Kyran Map,900,,,11917452.0,ns,756
collections,Kyran Map,900,,,12836868.0,ns,819
collections,Kyran Map,900,,,13869448.0,ns,882
collections,Kyran Map,900,,,14865438.0,ns,945
collections,Kyran Map,900,,,15863013.0,ns,1008
collections,Kyran Map,900,,,16850456.0,ns,1071
collections,Kyran Map,900,,,17851938.0,ns,1134
collections,Kyran Map,900,,,19022305.0,ns,1197
collections,Kyran Map,900,,,19840151.0,ns,1260
collections,Kyran Map,900,,,20809932.0,ns,1323
collections,Kyran Map,900,,,21761230.0,ns,1386
collections,Kyran Map,900,,,22714049.0,ns,1449
collections,Kyran Map,900,,,23768840.0,ns,1512
collections,Kyran Map,900,,,24791620.0,ns,1575
collections,Kyran Map,900,,,25753698.0,ns,1638
collections,Kyran Map,900,,,27035646.0,ns,1701
collections,Kyran Map,900,,,27835156.0,ns,1764
collections,Kyran Map,900,,,28788186.0,ns,1827
collections,Kyran Map,900,,,29764811.0,ns,1890
collections,Kyran Map,900,,,30690639.0,ns,1953
collections,Kyran Map,900,,,31698172.0,ns,2016
collections,Kyran Map,900,,,32608662.0,ns,2079
collections,Kyran Map,900,,,33723044.0,ns,2142
collections,Kyran Map,900,,,34714647.0,ns,2205
collections,Kyran Map,900,,,35539836.0,ns,2268
collections,Kyran Map,900,,,36505510.0,ns,2331
collections,Kyran Map,900,,,37542708.0,ns,2394
collections,Kyran Map,900,,,38562734.0,ns,2457
collections,Kyran Map,900,,,39516385.0,ns,2520
collections,Kyran Map,900,,,40461911.0,ns,2583
collections,Kyran Map,900,,,41774797.0,ns,2646
collections,Kyran Map,900,,,42551495.0,ns,2709
collections,Kyran Map,900,,,43844324.0,ns,2772
collections,Kyran Map,900,,,44655868.0,ns,2835
collections,Kyran Map,900,,,45823840.0,ns,2898
collections,Kyran Map,900,,,46672584.0,ns,2961
collections,Kyran Map,900,,,47595688.0,ns,3024
collections,Kyran Map,900,,,48727273.0,ns,3087
collections,Kyran Map,900,,,49605372.0,ns,3150
collections,Kyran Map,900,,,50473353.0,ns,3213
collections,Kyran Map,900,,,51624915.0,ns,3276
collections,Kyran Map,900,,,52633439.0,ns,3339
collections,Kyran Map,900,,,53514053.0,ns,3402
collections,Kyran Map,900,,,54533608.0,ns,3465
collections,Kyran Map,900,,,55408582.0,ns,3528
collections,Kyran Map,900,,,56378704.0,ns,3591
collections,Kyran Map,900,,,57395944.0,ns,3654
collections,Kyran Map,900,,,58617447.0,ns,3717
collections,Kyran Map,900,,,59526515.0,ns,3780
collections,Kyran Map,900,,,60500655.0,ns,3843
collections,Kyran Map,900,,,61717020.0,ns,3906
collections,Kyran Map,900,,,63098564.0,ns,3969
collections,Kyran Map,900,,,63340789.0,ns,4032
collections,Kyran Map,900,,,63770035.0,ns,4095
collections,Kyran Map,900,,,64622465.0,ns,4158
collections,Kyran Map,900,,,65532235.0,ns,4221
collections,Kyran Map,900,,,67313079.0,ns,4284
collections,Kyran Map,900,,,67922083.0,ns,4347
collections,Kyran Map,900,,,68501320.0,ns,4410
collections,Kyran Map,900,,,70623856.0,ns,4473
collections,Kyran Map,900,,,70737781.0,ns,4536
collections,Kyran Map,900,,,71826906.0,ns,4599
collections,Kyran Map,900,,,72908428.0,ns,4662
collections,Kyran Map,900,,,73894820.0,ns,4725
collections,Kyran Map,900,,,75271755.0,ns,4788
collections,Kyran Map,900,,,76352014.0,ns,4851
collections,Kyran Map,900,,,77813870.0,ns,4914
collections,Kyran Map,900,,,77593927.0,ns,4977
collections,Kyran Map,900,,,78341611.0,ns,5040
collections,Kyran Map,900,,,79264565.0,ns,5103
collections,Kyran Map,900,,,80792363.0,ns,5166
collections,Kyran Map,900,,,81252738.0,ns,5229
collections,Kyran Map,900,,,83488577.0,ns,5292
collections,Kyran Map,900,,,83086943.0,ns,5355
collections,Kyran Map,900,,,83958569.0,ns,5418
collections,Kyran Map,900,,,85597758.0,ns,5481
collections,Kyran Map,900,,,86237790.0,ns,5544
collections,Kyran Map,900,,,86936583.0,ns,5607
collections,Kyran Map,900,,,87959303.0,ns,5670
collections,Kyran Map,900,,,89425025.0,ns,5733
collections,Kyran Map,900,,,89949090.0,ns,5796
collections,Kyran Map,900,,,96098820.0,ns,5859
collections,Kyran Map,900,,,95656970.0,ns,5922
collections,Kyran Map,900,,,93705885.0,ns,5985
collections,Kyran Map,900,,,94544921.0,ns,6048
collections,Kyran Map,900,,,95715520.0,ns,6111
collections,Kyran Map,900,,,96799075.0,ns,6174
collections,Kyran Map,900,,,98014507.0,ns,6237
collections,Kyran Map,900,,,98796436.0,ns,6300
