group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Map,1,,,984989.0,ns,12598
collections,Map,1,,,1951594.0,ns,25196
collections,Map,1,,,2958484.0,ns,37794
collections,Map,1,,,3940768.0,ns,50392
collections,Map,1,,,5275122.0,ns,62990
collections,Map,1,,,6011404.0,ns,75588
collections,Map,1,,,6946309.0,ns,88186
collections,Map,1,,,7910018.0,ns,100784
collections,Map,1,,,8988363.0,ns,113382
collections,Map,1,,,9782273.0,ns,125980
collections,Map,1,,,10935919.0,ns,138578
collections,Map,1,,,11720963.0,ns,151176
collections,Map,1,,,13043385.0,ns,163774
collections,Map,1,,,13736958.0,ns,176372
collections,Map,1,,,14715183.0,ns,188970
collections,Map,1,,,15749425.0,ns,201568
collections,Map,1,,,16796209.0,ns,214166
collections,Map,1,,,17678416.0,ns,226764
collections,Map,1,,,18581070.0,ns,239362
collections,Map,1,,,19785120.0,ns,251960
collections,Map,1,,,21147578.0,ns,264558
collections,Map,1,,,21758535.0,ns,277156
collections,Map,1,,,22812353.0,ns,289754
collections,Map,1,,,25072947.0,ns,302352
collections,Map,1,,,24785788.0,ns,314950
collections,Map,1,,,26253282.0,ns,327548
collections,Map,1,,,26564237.0,ns,340146
collections,Map,1,,,28233229.0,ns,352744
collections,Map,1,,,29399258.0,ns,365342
collections,Map,1,,,30659193.0,ns,377940
collections,Map,1,,,31301489.0,ns,390538
collections,Map,1,,,31730103.0,ns,403136
collections,Map,1,,,32369254.0,ns,415734
collections,Map,1,,,34162951.0,ns,428332
collections,Map,1,,,34195581.0,ns,440930
collections,Map,1,,,35155504.0,ns,453528
collections,Map,1,,,36093214.0,ns,466126
collections,Map,1,,,37004365.0,ns,478724
collections,Map,1,,,38048865.0,ns,491322
collections,Map,1,,,39755118.0,ns,503920
collections,Map,1,,,40113351.0,ns,516518
collections,Map,1,,,41139537.0,ns,529116
collections,Map,1,,,41833429.0,ns,541714
collections,Map,1,,,43138319.0,ns,554312
collections,Map,1,,,44207005.0,ns,566910
collections,Map,1,,,45629124.0,ns,579508
collections,Map,1,,,46880484.0,ns,592106
collections,Map,1,,,47139800.0,ns,604704
collections,Map,1,,,48362366.0,ns,617302
collections,Map,1,,,48997087.0,ns,629900
collections,Map,1,,,50223529.0,ns,642498
collections,Map,1,,,51371314.0,ns,655096
collections,Map,1,,,52396688.0,ns,667694
collections,Map,1,,,52932014.0,ns,680292
collections,Map,1,,,54142045.0,ns,692890
collections,Map,1,,,54807784.0,ns,705488
collections,Map,1,,,55785540.0,ns,718086
collections,Map,1,,,57146735.0,ns,730684
collections,Map,1,,,57788520.0,ns,743282
collections,Map,1,,,58891741.0,ns,755880
collections,Map,1,,,59751274.0,ns,768478
collections,Map,1,,,61900098.0,ns,781076
collections,Map,1,,,62149075.0,ns,793674
collections,Map,1,,,63058543.0,ns,806272
collections,Map,1,,,64152707.0,ns,818870
collections,Map,1,,,64964390.0,ns,831468
collections,Map,1,,,66266644.0,ns,844066
collections,Map,1,,,68402464.0,ns,856664
collections,Map,1,,,68620163.0,ns,869262
collections,Map,1,,,69249474.0,ns,881860
collections,Map,1,,,70137391.0,ns,894458
collections,Map,1,,,70691100.0,ns,907056
collections,Map,1,,,71469181.0,ns,919654
collections,Map,1,,,73198797.0,ns,932252
collections,Map,1,,,73402801.0,ns,944850
collections,Map,1,,,74504619.0,ns,957448
collections,Map,1,,,75638647.0,ns,970046
collections,Map,1,,,76413262.0,ns,982644
collections,Map,1,,,77248930.0,ns,995242
collections,Map,1,,,80104551.0,ns,1007840
collections,Map,1,,,80881309.0,ns,1020438
collections,Map,1,,,84216640.0,ns,1033036
collections,Map,1,,,81667104.0,ns,1045634
collections,Map,1,,,82942097.0,ns,1058232
collections,Map,1,,,84670702.0,ns,1070830
collections,Map,1,,,84633322.0,ns,1083428
collections,Map,1,,,85504427.0,ns,1096026
collections,Map,1,,,87870339.0,ns,1108624
collections,Map,1,,,87719214.0,ns,1121222
collections,Map,1,,,88576093.0,ns,1133820
collections,Map,1,,,89456426.0,ns,1146418
collections,Map,1,,,90730097.0,ns,1159016
collections,Map,1,,,91077358.0,ns,1171614
collections,Map,1,,,92874993.0,ns,1184212
collections,Map,1,,,92968279.0,ns,1196810
collections,Map,1,,,94072060.0,ns,1209408
collections,Map,1,,,96493195.0,ns,1222006
collections,Map,1,,,97450402.0,ns,1234604
collections,Map,1,,,101180935.0,ns,1247202
collections,Map,1,,,98794946.0,ns,1259800
