group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Map,2,,,998215.0,ns,9773
collections,Map,2,,,1995546.0,ns,19546
collections,Map,2,,,2989011.0,ns,29319
collections,Map,2,,,3973349.0,ns,39092
collections,Map,2,,,5154666.0,ns,48865
collections,Map,2,,,5976850.0,ns,58638
collections,Map,2,,,6900063.0,ns,68411
collections,Map,2,,,7815502.0,ns,78184
collections,Map,2,,,8842269.0,ns,87957
collections,Map,2,,,9823421.0,ns,97730
collections,Map,2,,,10782361.0,ns,107503
collections,Map,2,,,11742914.0,ns,117276
collections,Map,2,,,12743593.0,ns,127049
collections,Map,2,,,13912567.0,ns,136822
collections,Map,2,,,14907084.0,ns,146595
collections,Map,2,,,15897484.0,ns,156368
collections,Map,2,,,16899104.0,ns,166141
collections,Map,2,,,17901135.0,ns,175914
collections,Map,2,,,18962387.0,ns,185687
collections,Map,2,,,19876322.0,ns,195460
collections,Map,2,,,20851584.0,ns,205233
collections,Map,2,,,21788753.0,ns,215006
collections,Map,2,,,22724149.0,ns,224779
collections,Map,2,,,23761336.0,ns,234552
collections,Map,2,,,24490695.0,ns,244325
collections,Map,2,,,25292180.0,ns,254098
collections,Map,2,,,26154689.0,ns,263871
collections,Map,2,,,27465249.0,ns,273644
collections,Map,2,,,28801057.0,ns,283417
collections,Map,2,,,29816643.0,ns,293190
collections,Map,2,,,30791122.0,ns,302963
collections,Map,2,,,31582839.0,ns,312736
collections,Map,2,,,32592294.0,ns,322509
collections,Map,2,,,33750869.0,ns,332282
collections,Map,2,,,34825506.0,ns,342055
collections,Map,2,,,35866941.0,ns,351828
collections,Map,2,,,36754668.0,ns,361601
collections,Map,2,,,37876584.0,ns,371374
collections,Map,2,,,38744352.0,ns,381147
collections,Map,2,,,39762684.0,ns,390920
collections,Map,2,,,40678685.0,ns,400693
collections,Map,2,,,41888054.0,ns,410466
collections,Map,2,,,43012336.0,ns,420239
collections,Map,2,,,43868532.0,ns,430012
collections,Map,2,,,44988033.0,ns,439785
collections,Map,2,,,45727311.0,ns,449558
collections,Map,2,,,46723401.0,ns,459331
collections,Map,2,,,47778452.0,ns,469104
collections,Map,2,,,49166859.0,ns,478877
collections,Map,2,,,49710389.0,ns,488650
collections,Map,2,,,50732508.0,ns,498423
collections,Map,2,,,51757492.0,ns,508196
collections,Map,2,,,52563966.0,ns,517969
collections,Map,2,,,53383434.0,ns,527742
collections,Map,2,,,54277192.0,ns,537515
collections,Map,2,,,55594865.0,ns,547288
collections,Map,2,,,56348541.0,ns,557061
collections,Map,2,,,57401737.0,ns,566834
collections,Map,2,,,58683093.0,ns,576607
collections,Map,2,,,59383868.0,ns,586380
collections,Map,2,,,59519362.0,ns,596153
collections,Map,2,,,60744042.0,ns,605926
collections,Map,2,,,62411432.0,ns,615699
collections,Map,2,,,63682698.0,ns,625472
collections,Map,2,,,64670012.0,ns,635245
collections,Map,2,,,65394051.0,ns,645018
collections,Map,2,,,66419406.0,ns,654791
collections,Map,2,,,67485017.0,ns,664564
collections,Map,2,,,67894505.0,ns,674337
collections,Map,2,,,68418950.0,ns,684110
collections,Map,2,,,69441048.0,ns,693883
collections,Map,2,,,70514633.0,ns,703656
collections,Map,2,,,72131570.0,ns,713429
collections,Map,2,,,73464702.0,ns,723202
collections,Map,2,,,73317555.0,ns,732975
collections,Map,2,,,74688099.0,ns,742748
collections,Map,2,,,75973622.0,ns,752521
collections,Map,2,,,76839998.0,ns,762294
collections,Map,2,,,77789651.0,ns,772067
collections,Map,2,,,79859366.0,ns,781840
collections,Map,2,,,79891867.0,ns,791613
collections,Map,2,,,81255687.0,ns,801386
collections,Map,2,,,81902481.0,ns,811159
collections,Map,2,,,82935430.0,ns,820932
collections,Map,2,,,84483717.0,ns,830705
collections,Map,2,,,84963187.0,ns,840478
collections,Map,2,,,85904824.0,ns,850251
collections,Map,2,,,86920431.0,ns,860024
collections,Map,2,,,87772581.0,ns,869797
collections,Map,2,,,89205020.0,ns,879570
collections,Map,2,,,90259029.0,ns,889343
collections,Map,2,,,90904701.0,ns,899116
collections,Map,2,,,92012190.0,ns,908889
collections,Map,2,,,92370612.0,ns,918662
collections,Map,2,,,93569503.0,ns,928435
collections,Map,2,,,95800261.0,ns,938208
collections,Map,2,,,94815852.0,ns,947981
collections,Map,2,,,95562785.0,ns,957754
collections,Map,2,,,96528848.0,ns,967527
collections,Map,2,,,97257856.0,ns,977300
