group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Parralel,13122,,,1045552.0,ns,16
collections,Parralel,13122,,,2043114.0,ns,32
collections,Parralel,13122,,,3247384.0,ns,48
collections,Parralel,13122,,,4034050.0,ns,64
collections,Parralel,13122,,,5124036.0,ns,80
collections,Parralel,13122,,,6179486.0,ns,96
collections,Parralel,13122,,,6992602.0,ns,112
collections,Parralel,13122,,,8005773.0,ns,128
collections,Parralel,13122,,,9109245.0,ns,144
collections,Parralel,13122,,,10024922.0,ns,160
collections,Parralel,13122,,,11086304.0,ns,176
collections,Parralel,13122,,,12835156.0,ns,192
collections,Parralel,13122,,,13041754.0,ns,208
collections,Parralel,13122,,,14049756.0,ns,224
collections,Parralel,13122,,,15037899.0,ns,240
collections,Parralel,13122,,,16024031.0,ns,256
collections,Parralel,13122,,,17046800.0,ns,272
collections,Parralel,13122,,,18003575.0,ns,288
collections,Parralel,13122,,,18935354.0,ns,304
collections,Parralel,13122,,,20096483.0,ns,320
collections,Parralel,13122,,,21169236.0,ns,336
collections,Parralel,13122,,,22132995.0,ns,352
collections,Parralel,13122,,,23018356.0,ns,368
collections,Parralel,13122,,,24755516.0,ns,384
collections,Parralel,13122,,,25173811.0,ns,400
collections,Parralel,13122,,,26140586.0,ns,416
collections,Parralel,13122,,,27069539.0,ns,432
collections,Parralel,13122,,,28107166.0,ns,448
collections,Parralel,13122,,,29182523.0,ns,464
collections,Parralel,13122,,,30022901.0,ns,480
collections,Parralel,13122,,,31160075.0,ns,496
collections,Parralel,13122,,,31670793.0,ns,512
collections,Parralel,13122,,,33106266.0,ns,528
collections,Parralel,13122,,,34118396.0,ns,544
collections,Parralel,13122,,,35148579.0,ns,560
collections,Parralel,13122,,,36293368.0,ns,576
collections,Parralel,13122,,,36424504.0,ns,592
collections,Parralel,13122,,,38053982.0,ns,608
collections,Parralel,13122,,,39105003.0,ns,624
collections,Parralel,13122,,,40272626.0,ns,640
collections,Parralel,13122,,,41103785.0,ns,656
collections,Parralel,13122,,,42037227.0,ns,672
collections,Parralel,13122,,,43698234.0,ns,688
collections,Parralel,13122,,,44289112.0,ns,704
collections,Parralel,13122,,,45253632.0,ns,720
collections,Parralel,13122,,,46108717.0,ns,736
collections,Parralel,13122,,,47016781.0,ns,752
collections,Parralel,13122,,,48668782.0,ns,768
collections,Parralel,13122,,,49180793.0,ns,784
collections,Parralel,13122,,,50258936.0,ns,800
collections,Parralel,13122,,,51892170.0,ns,816
collections,Parralel,13122,,,52234693.0,ns,832
collections,Parralel,13122,,,53087023.0,ns,848
collections,Parralel,13122,,,54376593.0,ns,864
collections,Parralel,13122,,,55250883.0,ns,880
collections,Parralel,13122,,,56146284.0,ns,896
collections,Parralel,13122,,,57361884.0,ns,912
collections,Parralel,13122,,,58396827.0,ns,928
collections,Parralel,13122,,,59800090.0,ns,944
collections,Parralel,13122,,,60358297.0,ns,960
collections,Parralel,13122,,,61383902.0,ns,976
collections,Parralel,13122,,,62320770.0,ns,992
collections,Parralel,13122,,,63261566.0,ns,1008
collections,Parralel,13122,,,64240142.0,ns,1024
collections,Parralel,13122,,,64973869.0,ns,1040
collections,Parralel,13122,,,66441643.0,ns,1056
collections,Parralel,13122,,,67061567.0,ns,1072
collections,Parralel,13122,,,68491641.0,ns,1088
collections,Parralel,13122,,,69228453.0,ns,1104
collections,Parralel,13122,,,70770166.0,ns,1120
collections,Parralel,13122,,,71554519.0,ns,1136
collections,Parralel,13122,,,74251961.0,ns,1152
collections,Parralel,13122,,,75792601.0,ns,1168
collections,Parralel,13122,,,74445374.0,ns,1184
collections,Parralel,13122,,,75975014.0,ns,1200
collections,Parralel,13122,,,76281509.0,ns,1216
collections,Parralel,13122,,,78037534.0,ns,1232
collections,Parralel,13122,,,78279088.0,ns,1248
collections,Parralel,13122,,,80120113.0,ns,1264
collections,Parralel,13122,,,79875002.0,ns,1280
collections,Parralel,13122,,,81580203.0,ns,1296
collections,Parralel,13122,,,83458287.0,ns,1312
collections,Parralel,13122,,,83388546.0,ns,1328
collections,Parralel,13122,,,84686172.0,ns,1344
collections,Parralel,13122,,,87614076.0,ns,1360
collections,Parralel,13122,,,87855228.0,ns,1376
collections,Parralel,13122,,,87583949.0,ns,1392
collections,Parralel,13122,,,88385202.0,ns,1408
collections,Parralel,13122,,,89195714.0,ns,1424
collections,Parralel,13122,,,89898172.0,ns,1440
collections,Parralel,13122,,,91909687.0,ns,1456
collections,Parralel,13122,,,92786542.0,ns,1472
collections,Parralel,13122,,,93301388.0,ns,1488
collections,Parralel,13122,,,94448932.0,ns,1504
collections,Parralel,13122,,,95683348.0,ns,1520
collections,Parralel,13122,,,96573168.0,ns,1536
collections,Parralel,13122,,,97764844.0,ns,1552
collections,Parralel,13122,,,98965758.0,ns,1568
collections,Parralel,13122,,,100698259.0,ns,1584
collections,Parralel,13122,,,100935243.0,ns,1600
