group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,Parralel,6,,,1033650.0,ns,114
collections,Parralel,6,,,1900889.0,ns,228
collections,Parralel,6,,,3061237.0,ns,342
collections,Parralel,6,,,3956287.0,ns,456
collections,Parralel,6,,,4803257.0,ns,570
collections,Parralel,6,,,5815166.0,ns,684
collections,Parralel,6,,,6657346.0,ns,798
collections,Parralel,6,,,7705033.0,ns,912
collections,Parralel,6,,,8910646.0,ns,1026
collections,Parralel,6,,,10230775.0,ns,1140
collections,Parralel,6,,,11059270.0,ns,1254
collections,Parralel,6,,,11922110.0,ns,1368
collections,Parralel,6,,,12952023.0,ns,1482
collections,Parralel,6,,,14171893.0,ns,1596
collections,Parralel,6,,,15072182.0,ns,1710
collections,Parralel,6,,,16071327.0,ns,1824
collections,Parralel,6,,,16895185.0,ns,1938
collections,Parralel,6,,,17854586.0,ns,2052
collections,Parralel,6,,,18861004.0,ns,2166
collections,Parralel,6,,,19943486.0,ns,2280
collections,Parralel,6,,,21912272.0,ns,2394
collections,Parralel,6,,,22112778.0,ns,2508
collections,Parralel,6,,,22947896.0,ns,2622
collections,Parralel,6,,,23785749.0,ns,2736
collections,Parralel,6,,,25174816.0,ns,2850
collections,Parralel,6,,,26280402.0,ns,2964
collections,Parralel,6,,,26807171.0,ns,3078
collections,Parralel,6,,,27846191.0,ns,3192
collections,Parralel,6,,,28959851.0,ns,3306
collections,Parralel,6,,,30054466.0,ns,3420
collections,Parralel,6,,,31933634.0,ns,3534
collections,Parralel,6,,,34810584.0,ns,3648
collections,Parralel,6,,,33114550.0,ns,3762
collections,Parralel,6,,,34216429.0,ns,3876
collections,Parralel,6,,,35316352.0,ns,3990
collections,Parralel,6,,,36270204.0,ns,4104
collections,Parralel,6,,,37061218.0,ns,4218
collections,Parralel,6,,,38704012.0,ns,4332
collections,Parralel,6,,,38613602.0,ns,4446
collections,Parralel,6,,,39437248.0,ns,4560
collections,Parralel,6,,,41151386.0,ns,4674
collections,Parralel,6,,,42280716.0,ns,4788
collections,Parralel,6,,,43711581.0,ns,4902
collections,Parralel,6,,,44271473.0,ns,5016
collections,Parralel,6,,,45270158.0,ns,5130
collections,Parralel,6,,,46624520.0,ns,5244
collections,Parralel,6,,,45970572.0,ns,5358
collections,Parralel,6,,,48302700.0,ns,5472
collections,Parralel,6,,,49620383.0,ns,5586
collections,Parralel,6,,,49290083.0,ns,5700
collections,Parralel,6,,,51073060.0,ns,5814
collections,Parralel,6,,,51632431.0,ns,5928
collections,Parralel,6,,,53071672.0,ns,6042
collections,Parralel,6,,,54805777.0,ns,6156
collections,Parralel,6,,,53771095.0,ns,6270
collections,Parralel,6,,,55766040.0,ns,6384
collections,Parralel,6,,,56911520.0,ns,6498
collections,Parralel,6,,,57980817.0,ns,6612
collections,Parralel,6,,,59919456.0,ns,6726
collections,Parralel,6,,,59867890.0,ns,6840
collections,Parralel,6,,,60784419.0,ns,6954
collections,Parralel,6,,,62139674.0,ns,7068
collections,Parralel,6,,,62751051.0,ns,7182
collections,Parralel,6,,,61772455.0,ns,7296
collections,Parralel,6,,,65112404.0,ns,7410
collections,Parralel,6,,,65919849.0,ns,7524
collections,Parralel,6,,,67783117.0,ns,7638
collections,Parralel,6,,,68302773.0,ns,7752
collections,Parralel,6,,,68781140.0,ns,7866
collections,Parralel,6,,,70885521.0,ns,7980
collections,Parralel,6,,,70775263.0,ns,8094
collections,Parralel,6,,,71952073.0,ns,8208
collections,Parralel,6,,,72641016.0,ns,8322
collections,Parralel,6,,,74263642.0,ns,8436
collections,Parralel,6,,,74246760.0,ns,8550
collections,Parralel,6,,,77331400.0,ns,8664
collections,Parralel,6,,,77008875.0,ns,8778
collections,Parralel,6,,,78610993.0,ns,8892
collections,Parralel,6,,,79358165.0,ns,9006
collections,Parralel,6,,,81022239.0,ns,9120
collections,Parralel,6,,,81350756.0,ns,9234
collections,Parralel,6,,,82369768.0,ns,9348
collections,Parralel,6,,,83597613.0,ns,9462
collections,Parralel,6,,,83884801.0,ns,9576
collections,Parralel,6,,,84870802.0,ns,9690
collections,Parralel,6,,,87025698.0,ns,9804
collections,Parralel,6,,,87608722.0,ns,9918
collections,Parralel,6,,,88484906.0,ns,10032
collections,Parralel,6,,,88902811.0,ns,10146
collections,Parralel,6,,,89986445.0,ns,10260
collections,Parralel,6,,,90415731.0,ns,10374
collections,Parralel,6,,,91792014.0,ns,10488
collections,Parralel,6,,,92453145.0,ns,10602
collections,Parralel,6,,,93679737.0,ns,10716
collections,Parralel,6,,,92161688.0,ns,10830
collections,Parralel,6,,,95972642.0,ns,10944
collections,Parralel,6,,,96923687.0,ns,11058
collections,Parralel,6,,,97601179.0,ns,11172
collections,Parralel,6,,,98753151.0,ns,11286
collections,Parralel,6,,,100385565.0,ns,11400
