group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,fold,10,,,993513.0,ns,4258105
collections,fold,10,,,1975224.0,ns,8516210
collections,fold,10,,,2965472.0,ns,12774315
collections,fold,10,,,3971308.0,ns,17032420
collections,fold,10,,,4969700.0,ns,21290525
collections,fold,10,,,5955940.0,ns,25548630
collections,fold,10,,,6920719.0,ns,29806735
collections,fold,10,,,7928900.0,ns,34064840
collections,fold,10,,,8899370.0,ns,38322945
collections,fold,10,,,9907300.0,ns,42581050
collections,fold,10,,,10883911.0,ns,46839155
collections,fold,10,,,11900077.0,ns,51097260
collections,fold,10,,,12897348.0,ns,55355365
collections,fold,10,,,13871585.0,ns,59613470
collections,fold,10,,,14838388.0,ns,63871575
collections,fold,10,,,15741662.0,ns,68129680
collections,fold,10,,,16868706.0,ns,72387785
collections,fold,10,,,17899849.0,ns,76645890
collections,fold,10,,,18799126.0,ns,80903995
collections,fold,10,,,19645854.0,ns,85162100
collections,fold,10,,,20633647.0,ns,89420205
collections,fold,10,,,21609997.0,ns,93678310
collections,fold,10,,,22595706.0,ns,97936415
collections,fold,10,,,23582476.0,ns,102194520
collections,fold,10,,,24554881.0,ns,106452625
collections,fold,10,,,25543254.0,ns,110710730
collections,fold,10,,,26527269.0,ns,114968835
collections,fold,10,,,27557161.0,ns,119226940
collections,fold,10,,,28537920.0,ns,123485045
collections,fold,10,,,29509302.0,ns,127743150
collections,fold,10,,,30460265.0,ns,132001255
collections,fold,10,,,31441395.0,ns,136259360
collections,fold,10,,,32551647.0,ns,140517465
collections,fold,10,,,33488284.0,ns,144775570
collections,fold,10,,,34395305.0,ns,149033675
collections,fold,10,,,35374151.0,ns,153291780
collections,fold,10,,,36454216.0,ns,157549885
collections,fold,10,,,37381415.0,ns,161807990
collections,fold,10,,,38917776.0,ns,166066095
collections,fold,10,,,39745479.0,ns,170324200
collections,fold,10,,,40598759.0,ns,174582305
collections,fold,10,,,41553880.0,ns,178840410
collections,fold,10,,,42705801.0,ns,183098515
collections,fold,10,,,43613483.0,ns,187356620
collections,fold,10,,,44729967.0,ns,191614725
collections,fold,10,,,45641045.0,ns,195872830
collections,fold,10,,,46451425.0,ns,200130935
collections,fold,10,,,47482058.0,ns,204389040
collections,fold,10,,,48301354.0,ns,208647145
collections,fold,10,,,49110212.0,ns,212905250
collections,fold,10,,,50108704.0,ns,217163355
collections,fold,10,,,51079815.0,ns,221421460
collections,fold,10,,,52117612.0,ns,225679565
collections,fold,10,,,53542042.0,ns,229937670
collections,fold,10,,,54570431.0,ns,234195775
collections,fold,10,,,55475459.0,ns,238453880
collections,fold,10,,,56386528.0,ns,242711985
collections,fold,10,,,57353451.0,ns,246970090
collections,fold,10,,,58266814.0,ns,251228195
collections,fold,10,,,59815979.0,ns,255486300
collections,fold,10,,,60380557.0,ns,259744405
collections,fold,10,,,61505347.0,ns,264002510
collections,fold,10,,,62361202.0,ns,268260615
collections,fold,10,,,63291698.0,ns,272518720
collections,fold,10,,,65336482.0,ns,276776825
collections,fold,10,,,65225574.0,ns,281034930
collections,fold,10,,,66314967.0,ns,285293035
collections,fold,10,,,67046659.0,ns,289551140
collections,fold,10,,,67781568.0,ns,293809245
collections,fold,10,,,68852256.0,ns,298067350
collections,fold,10,,,69774575.0,ns,302325455
collections,fold,10,,,70866573.0,ns,306583560
collections,fold,10,,,71783132.0,ns,310841665
collections,fold,10,,,73422777.0,ns,315099770
collections,fold,10,,,75164223.0,ns,319357875
collections,fold,10,,,75344992.0,ns,323615980
collections,fold,10,,,76642736.0,ns,327874085
collections,fold,10,,,77878524.0,ns,332132190
collections,fold,10,,,77971207.0,ns,336390295
collections,fold,10,,,78881715.0,ns,340648400
collections,fold,10,,,80131128.0,ns,344906505
collections,fold,10,,,80237528.0,ns,349164610
collections,fold,10,,,81115363.0,ns,353422715
collections,fold,10,,,82708682.0,ns,357680820
collections,fold,10,,,83598411.0,ns,361938925
collections,fold,10,,,84736876.0,ns,366197030
collections,fold,10,,,86307432.0,ns,370455135
collections,fold,10,,,86622932.0,ns,374713240
collections,fold,10,,,87795221.0,ns,378971345
collections,fold,10,,,88500073.0,ns,383229450
collections,fold,10,,,89449644.0,ns,387487555
collections,fold,10,,,90075157.0,ns,391745660
collections,fold,10,,,90835032.0,ns,396003765
collections,fold,10,,,91840408.0,ns,400261870
collections,fold,10,,,93319011.0,ns,404519975
collections,fold,10,,,94339975.0,ns,408778080
collections,fold,10,,,95125989.0,ns,413036185
collections,fold,10,,,96520916.0,ns,417294290
collections,fold,10,,,97353426.0,ns,421552395
collections,fold,10,,,98419015.0,ns,425810500
