group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
collections,fold,3188646,,,122140202.0,ns,1
collections,fold,3188646,,,122228909.0,ns,1
collections,fold,3188646,,,122313226.0,ns,1
collections,fold,3188646,,,121991262.0,ns,1
collections,fold,3188646,,,121590700.0,ns,1
collections,fold,3188646,,,121988347.0,ns,1
collections,fold,3188646,,,122030395.0,ns,1
collections,fold,3188646,,,122043850.0,ns,1
collections,fold,3188646,,,121948000.0,ns,1
collections,fold,3188646,,,121859645.0,ns,1
collections,fold,3188646,,,121993335.0,ns,1
collections,fold,3188646,,,122005498.0,ns,1
collections,fold,3188646,,,121919578.0,ns,1
collections,fold,3188646,,,121818306.0,ns,1
collections,fold,3188646,,,122045373.0,ns,1
collections,fold,3188646,,,122016478.0,ns,1
collections,fold,3188646,,,121915229.0,ns,1
collections,fold,3188646,,,121902866.0,ns,1
collections,fold,3188646,,,122519734.0,ns,1
collections,fold,3188646,,,122238786.0,ns,1
collections,fold,3188646,,,121835639.0,ns,1
collections,fold,3188646,,,121794501.0,ns,1
collections,fold,3188646,,,121757553.0,ns,1
collections,fold,3188646,,,121862649.0,ns,1
collections,fold,3188646,,,121921741.0,ns,1
collections,fold,3188646,,,121971704.0,ns,1
collections,fold,3188646,,,121795404.0,ns,1
collections,fold,3188646,,,121870304.0,ns,1
collections,fold,3188646,,,121869993.0,ns,1
collections,fold,3188646,,,121833545.0,ns,1
collections,fold,3188646,,,121873319.0,ns,1
collections,fold,3188646,,,121791025.0,ns,1
collections,fold,3188646,,,122011849.0,ns,1
collections,fold,3188646,,,121834747.0,ns,1
collections,fold,3188646,,,122072373.0,ns,1
collections,fold,3188646,,,121914636.0,ns,1
collections,fold,3188646,,,121919917.0,ns,1
collections,fold,3188646,,,121880953.0,ns,1
collections,fold,3188646,,,121809349.0,ns,1
collections,fold,3188646,,,121803968.0,ns,1
collections,fold,3188646,,,123184010.0,ns,1
collections,fold,3188646,,,122377646.0,ns,1
collections,fold,3188646,,,122732882.0,ns,1
collections,fold,3188646,,,122095677.0,ns,1
collections,fold,3188646,,,122056893.0,ns,1
collections,fold,3188646,,,121881093.0,ns,1
collections,fold,3188646,,,121892154.0,ns,1
collections,fold,3188646,,,121808015.0,ns,1
collections,fold,3188646,,,121837411.0,ns,1
collections,fold,3188646,,,121977254.0,ns,1
collections,fold,3188646,,,121959540.0,ns,1
collections,fold,3188646,,,122603409.0,ns,1
collections,fold,3188646,,,121843713.0,ns,1
collections,fold,3188646,,,121655379.0,ns,1
collections,fold,3188646,,,121864512.0,ns,1
collections,fold,3188646,,,121890200.0,ns,1
collections,fold,3188646,,,121901311.0,ns,1
collections,fold,3188646,,,122017439.0,ns,1
collections,fold,3188646,,,122011928.0,ns,1
collections,fold,3188646,,,121972184.0,ns,1
collections,fold,3188646,,,121879810.0,ns,1
collections,fold,3188646,,,121947507.0,ns,1
collections,fold,3188646,,,122003112.0,ns,1
collections,fold,3188646,,,121940263.0,ns,1
collections,fold,3188646,,,121996159.0,ns,1
collections,fold,3188646,,,121958949.0,ns,1
collections,fold,3188646,,,122327751.0,ns,1
collections,fold,3188646,,,122480468.0,ns,1
collections,fold,3188646,,,128933064.0,ns,1
collections,fold,3188646,,,121997020.0,ns,1
collections,fold,3188646,,,122163352.0,ns,1
collections,fold,3188646,,,121490389.0,ns,1
collections,fold,3188646,,,121649237.0,ns,1
collections,fold,3188646,,,122014342.0,ns,1
collections,fold,3188646,,,121707356.0,ns,1
collections,fold,3188646,,,121692509.0,ns,1
collections,fold,3188646,,,121644919.0,ns,1
collections,fold,3188646,,,121581129.0,ns,1
collections,fold,3188646,,,122081438.0,ns,1
collections,fold,3188646,,,121783949.0,ns,1
collections,fold,3188646,,,121895650.0,ns,1
collections,fold,3188646,,,121846317.0,ns,1
collections,fold,3188646,,,121585297.0,ns,1
collections,fold,3188646,,,121801201.0,ns,1
collections,fold,3188646,,,122045621.0,ns,1
collections,fold,3188646,,,122055379.0,ns,1
collections,fold,3188646,,,121737733.0,ns,1
collections,fold,3188646,,,121803205.0,ns,1
collections,fold,3188646,,,121744034.0,ns,1
collections,fold,3188646,,,121993994.0,ns,1
collections,fold,3188646,,,121593412.0,ns,1
collections,fold,3188646,,,121623328.0,ns,1
collections,fold,3188646,,,121719308.0,ns,1
collections,fold,3188646,,,121905868.0,ns,1
collections,fold,3188646,,,121790170.0,ns,1
collections,fold,3188646,,,121803325.0,ns,1
collections,fold,3188646,,,121876924.0,ns,1
collections,fold,3188646,,,121710230.0,ns,1
collections,fold,3188646,,,121761226.0,ns,1
collections,fold,3188646,,,121931545.0,ns,1
